20201223,闵行,春申,中海寰宇新出大三房，楼层位置好，开发商装修。房主自荐,1150万,3室2厅 | 132.49平米 | 南 | 精装 | 中楼层(共25层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MGE2qXn96_1.jpg.296x216.jpg
20201223,闵行,春申,装修好，采光好，产权清晰，满五唯一~房主自荐,580万,3室2厅 | 127.19平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HgU1gJQf5_1.jpg.296x216.jpg
20201223,闵行,春申,莘庄梅园环抱，HAOHUA精装修，带30平院子,860万,3室2厅 | 115.03平米 | 南 北 | 精装 | 低楼层(共14层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ORUKXqsLe_1.jpg.296x216.jpg
20201223,闵行,春申,小区唯一一套带私家游泳池的房子，独栋房主自荐,3900万,5室3厅 | 626.07平米 | 南 | 精装 | 3层 | 2005年建 | 板楼 | 独栋别墅,http://image1.ljcdn.com/110000-inspection/pc1_VHoqTDmNh_1.jpg.296x216.jpg
20201223,闵行,春申,高兴花园双南两房进装修业主诚意出售！,495万,2室1厅 | 69.12平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bFjcQGhN0_1.jpg.296x216.jpg
20201223,闵行,春申,银河新都 2室1厅 南 北,414万,2室1厅 | 73.5平米 | 南 北 | 精装 | 中楼层(共12层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BLBmRBtR9_1.jpg.296x216.jpg
20201223,闵行,春申,15号线、19号线、机场联络线三轨交汇，全明户型！！房主自荐,449万,2室2厅 | 88.92平米 | 南 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2Vjxa32a8_1.jpg.296x216.jpg
20201223,闵行,春申,双南大两房，居家精装，近教育，非顶楼房主自荐,505万,2室2厅 | 76.77平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BNf66wzfQ_1.jpg.296x216.jpg
20201223,闵行,春申,中间楼层 婚房装修 保养得当 采光好 出行便利房主自荐,241万,1室1厅 | 56.37平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PysOgFID2_1.jpg.296x216.jpg
20201223,闵行,春申,满五唯一，得房率高，户型方正，业主诚售房主自荐,395万,1室1厅 | 64.4平米 | 南 | 毛坯 | 高楼层(共19层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_n3j5lPM53_1.jpg.296x216.jpg
20201223,闵行,春申,新上：价格实惠，售后公房，满五唯一，业主诚意出售,210万,1室1厅 | 49.75平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xmvuvGpmm_1.jpg.296x216.jpg
20201223,闵行,春申,中海寰宇新出大三房，开发商统一装修。房主自荐,998万,3室2厅 | 130.18平米 | 南 | 精装 | 低楼层(共18层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CVs8W8roM_1.jpg.296x216.jpg
20201223,闵行,春申,南北通两房，满五唯一，位置安静，交通便利,435万,2室2厅 | 91.76平米 | 南 | 简装 | 中楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_asweDSEPc_1.jpg.296x216.jpg
20201223,闵行,春申,一首动迁，产权清晰，非顶楼，无抵无贷，视野宽广,425万,2室2厅 | 97.36平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_peETm0DX0_1.jpg.296x216.jpg
20201223,闵行,春申,精致两房、采光充足、视野开阔，配套设施齐全,405万,2室1厅 | 87.37平米 | 南 北 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_85D3VrlHJ_1.jpg.296x216.jpg
20201223,闵行,春申,好房不错过使用面积200多平满五唯一70平大露台和车位,1150万,4室2厅 | 145.5平米 | 南 | 精装 | 高楼层(共17层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uFDA8QXU7_1.jpg.296x216.jpg
20201223,闵行,春申,一手动迁，税费少，阁楼面积大，全明户型房主自荐,440万,2室2厅 | 88.92平米 | 南 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JZhYzvSZ7_1.jpg.296x216.jpg
20201223,闵行,春申,2008年电梯房~房型正气，老业主委托，诚意出售~,480万,2室1厅 | 89.93平米 | 南 | 简装 | 中楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lTrK12daX_1.jpg.296x216.jpg
20201223,闵行,春申,满五年唯一，精装修，保养好，可以领包入住,1580万,3室2厅 | 207平米 | 南 | 精装 | 3层 | 2001年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/110000-inspection/pc1_jz1h9JdI0_1.jpg.296x216.jpg
20201223,闵行,春申,虹梅菁典，大三房，中间楼层，飞机户型,860万,3室2厅 | 132.1平米 | 南 | 简装 | 中楼层(共6层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4FBkHSY1z_1.jpg.296x216.jpg
20201223,闵行,春申,【抢房】全新装修！拎包入住！大花园临大河！业主诚售,2600万,4室2厅 | 415平米 | 南 | 精装 | 3层 | 2009年建 | 板楼 | 双拼别墅,http://image1.ljcdn.com/110000-inspection/pc1_G9hhvPSek_1.jpg.296x216.jpg
20201223,闵行,春申,独立栋双南户型，全明采光好，户型格局棒，诚意出售。新上,490万,2室1厅 | 69.13平米 | 南 | 其他 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iQ0Dun4d1_1.jpg.296x216.jpg
20201223,闵行,春申,高兴花园 2室1厅 南新上,500万,2室1厅 | 63.7平米 | 南 | 简装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_55eniWDTd_1.jpg.296x216.jpg
20201223,闵行,春申,大露台，空中别墅，业主急售，满五唯一，店长力荐,620万,4室3厅 | 153.55平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_MxBBssMoF_1.jpg.296x216.jpg
20201223,闵行,春申,顶楼复式，16平大露台，阳光充足，视野开阔。,790万,4室2厅 | 190.85平米 | 东南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_AbsVu7irM_1.jpg.296x216.jpg
20201223,闵行,春申,顶楼复式，满五唯一税费少，采光通风视野好。,780万,3室2厅 | 177.25平米 | 南 | 简装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_e6hcotMD5.jpg.296x216.jpg
20201223,闵行,春申,富有艺术气息的双层复式  每一个角落都是打卡地,930万,4室2厅 | 190.85平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DCvglz8zw_1.jpg.296x216.jpg
20201223,闵行,春申,笋盘新出 景观位置 仅有的大C户型,2250万,6室2厅 | 328.39平米 | 南 | 精装 | 3层 | 2007年建 | 板楼 | 联排别墅,http://image1.ljcdn.com/110000-inspection/pc1_azJCR9msx_1.jpg.296x216.jpg
20201223,闵行,春申,总监推荐：全屋精装，南北两房，精心打造，诚意出售。,480万,2室1厅 | 66.13平米 | 南 北 | 精装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0ZcWnKDtw_1.jpg.296x216.jpg
20201223,闵行,春申,装修精美 楼层位置好 业主诚意出售,1446万,3室2厅 | 159.75平米 | 南 | 精装 | 中楼层(共30层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0a9lsUw0A_1.jpg.296x216.jpg
20201223,闵行,春申,次新房，一手动迁，中间楼层，诚意出售房主自荐,335万,1室1厅 | 62.64平米 | 南 | 毛坯 | 中楼层(共12层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_khHOZ3DXJ_1.jpg.296x216.jpg
20201223,闵行,春申,高兴新房龄 双南大2房 居家精装 中间位置 满五唯一房主自荐,551万,2室2厅 | 76.77平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_p2EkFuPl5_1.jpg.296x216.jpg
20201223,闵行,春申,小两房，南北两房，带天井。。。。,265万,2室1厅 | 59.39平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a2iqwsqqa_1.jpg.296x216.jpg
20201223,闵行,春申,低楼层 南北通大两房，视野宽阔，采光好,499万,2室2厅 | 97.28平米 | 南 北 | 简装 | 低楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vJxoeecyw_1.jpg.296x216.jpg
20201223,闵行,春申,中楼层、总价低、税费少，看房方便,354万,2室1厅 | 72.74平米 | 南 北 | 简装 | 中楼层(共11层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qnQeSOIvz_1.jpg.296x216.jpg
20201223,闵行,春申,银河新都 2室1厅 南 北,405万,2室1厅 | 73.38平米 | 南 北 | 毛坯 | 中楼层(共11层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HUpKdL8FH_1.jpg.296x216.jpg
20201223,闵行,春申,大一房、南北通采光通风好、看房随时有钥匙,345万,1室2厅 | 72.35平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-f2a54156-1007-484e-89c1-01c328946446.jpg.296x216.jpg
20201223,闵行,春申,闹中取静 带花园大三房 户型正气 诚意出售房主自荐,632万,3室2厅 | 111.96平米 | 南 | 简装 | 低楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8vZnE4IRX_1.jpg.296x216.jpg
20201223,闵行,春申,飞机户型 无增值税 位置安静 精装修 交通便利,610万,3室2厅 | 122.2平米 | 南 | 精装 | 低楼层(共12层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0K2OnfH3c_1.jpg.296x216.jpg
20201223,闵行,春申,【复式】【阁楼】【采光好】【随时看房】【地铁口】,760万,4室2厅 | 187.46平米 | 南 | 简装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-60131c5f-2b9a-4d6b-b545-4f5555ab31e2.jpg.296x216.jpg
20201223,闵行,春申,户型方正，房龄新，税费少，通风采光好。房主自荐,285万,1室1厅 | 51.52平米 | 南 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_V1PFwwBZh.jpg.296x216.jpg
