20201223,长宁,北新泾,买入价高，税费相对较少，朝小区花园不靠高架，楼层好房主自荐,800万,2室1厅 | 99.61平米 | 南 | 简装 | 中楼层(共8层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hH76q9asv_1.jpg.296x216.jpg
20201223,长宁,北新泾,店长推荐！小面积两房！总价低！满五唯一！新上,265万,2室0厅 | 45.93平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yPY1KDDWb_1.jpg.296x216.jpg
20201223,长宁,北新泾,西边套全明南北户型，中楼层，不靠马路，采光无遮挡房主自荐,310万,2室1厅 | 50平米 | 南 | 简装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0cEaEA0sq_1.jpg.296x216.jpg
20201223,长宁,北新泾,满五年唯一，复式，南北通边套，适合一家三代人新上,760万,4室2厅 | 143.61平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u6DOrBFJ5_1.jpg.296x216.jpg
20201223,长宁,北新泾,低楼层，采光好，满五年诚意出售房主自荐,280万,1室1厅 | 54.29平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Jeb9gvjAW_1.jpg.296x216.jpg
20201223,长宁,北新泾,精装修，业主诚意出售，近百联西郊房主自荐,420万,3室2厅 | 78.96平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5AKoJ4E4a_1.jpg.296x216.jpg
20201223,长宁,北新泾,通协小区 2室2厅 南 北,570万,2室2厅 | 79.4平米 | 南 北 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Hyotq1lYx_1.jpg.296x216.jpg
20201223,长宁,北新泾,精装修 近地铁 南北通 全明户型 商圈配套成熟,360万,2室1厅 | 60.89平米 | 南 北 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OTbHBJFK9_1.jpg.296x216.jpg
20201223,长宁,北新泾,售后公房满五唯一，两房朝南，边套全明，小区中间位置,335万,2室1厅 | 59.81平米 | 南 | 精装 | 高楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qXLm8vn0G_1.jpg.296x216.jpg
20201223,长宁,北新泾,二号线淞虹路站800米，电梯高层三房税少，精装修+地暖房主自荐,680万,3室2厅 | 103.23平米 | 南 | 精装 | 高楼层(共12层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qDHohxBpg_1.jpg.296x216.jpg
20201223,长宁,北新泾,南北朝向，楼层好，视野宽阔，采光充足房主自荐,275万,2室0厅 | 47.07平米 | 南 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qFSF3t7g9_1.jpg.296x216.jpg
20201223,长宁,北新泾,2号线地铁口，旁边新泾公园，电梯房，交通便利房主自荐,345万,1室1厅 | 59.16平米 | 南 | 简装 | 中楼层(共13层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_z9x8GpYOf_1.jpg.296x216.jpg
20201223,长宁,北新泾,新上房源一手动迁满五年唯一+店长推荐+房型正气,830万,3室2厅 | 119.16平米 | 南 | 精装 | 低楼层(共13层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_w4gw9496h_1.jpg.296x216.jpg
20201223,长宁,北新泾,贝壳优选 近地铁 满五唯一 精装修 拎包入住房主自荐,285万,1室1厅 | 52.33平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6wizOLU4q_1.jpg.296x216.jpg
20201223,长宁,北新泾,精装修  一梯两户  飞机户型  前后无遮挡  近地铁房主自荐,799万,3室2厅 | 123.57平米 | 南 | 精装 | 低楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aX4p6AC7H_1.jpg.296x216.jpg
