20201223,徐汇,万体馆,求职+田叁  满五精装修带地暖 近地铁 电梯两房两厅房主自荐,910万,2室2厅 | 110.13平米 | 南 | 精装 | 高楼层(共26层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ei1MfVKCM_1.jpg.296x216.jpg
20201223,徐汇,万体馆,0梯3户，闹中取静，内环内近地铁,275万,1室1厅 | 37.01平米 | 南 | 毛坯 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EaOG8kwiL_1.jpg.296x216.jpg
20201223,徐汇,万体馆,内环内+大复式+全明户型！+满五税少+房龄新+得房率高,699万,3室1厅 | 111.7平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2568044e-0658-4d5c-85cd-1236de3a1012_1000.jpg.296x216.jpg
20201223,徐汇,万体馆,求职天三  两条地铁沿线 出门3号线12号线 南北通两房房主自荐,425万,2室1厅 | 60.21平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TSM4i6ZY1_1.jpg.296x216.jpg
20201223,徐汇,万体馆,内环+边套全明+满五+精装+税少+南北通+地铁口,359万,2室0厅 | 47.96平米 | 南 | 精装 | 低楼层(共3层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1ZjUPBUWN_1.jpg.296x216.jpg
20201223,徐汇,万体馆,1/4/11地铁+ 体育公园+实际得房篙+新工房可贷款30年,262万,1室1厅 | 35.42平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CL6AksQvB_1.jpg.296x216.jpg
20201223,徐汇,万体馆,内环内+双南户型+1/4/11地铁+体育公园+随时可看！,332万,2室1厅 | 46.73平米 | 南 | 简装 | 高楼层(共5层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dPuWgsRyH_1.jpg.296x216.jpg
20201223,徐汇,万体馆,双南两房，满五唯一，没有个税.房主自荐,450万,2室1厅 | 54.04平米 | 南 | 简装 | 低楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CqS5H5i9w_1.jpg.296x216.jpg
20201223,徐汇,万体馆,东边套南北通大三房+售后公房+地铁3.12.11.1号线房主自荐,565万,3室1厅 | 73.74平米 | 南 北 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YgdHh6R3D_1.jpg.296x216.jpg
20201223,徐汇,万体馆,地铁口、2005房龄新、精装修、满五唯一。房主自荐,545万,2室1厅 | 71.9平米 | 西北 | 简装 | 高楼层(共24层)  | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_teGW096Cp_1.jpg.296x216.jpg
20201223,徐汇,万体馆,满五唯一 全明户型 交通便利 1/3/12三轨交汇 产权清晰房主自荐,398万,1室1厅 | 53.19平米 | 东 | 简装 | 低楼层(共18层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_seEwTaFCb_1.jpg.296x216.jpg
20201223,徐汇,万体馆,澳龙，南北两房，大厅大厨卫，满五唯一,825万,2室2厅 | 102.97平米 | 西南 | 精装 | 中楼层(共24层) | 2003年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_4G7YC7Qk6_1.jpg.296x216.jpg
20201223,徐汇,万体馆,徐家汇内环内+房龄新+朝南一室户+地铁1/4/11+随时可看,248万,1室0厅 | 33.61平米 | 南 | 简装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f7f16f31-7510-4885-89aa-436d0580e5f5_1000.jpg.296x216.jpg
20201223,徐汇,万体馆,1/4/11地铁口+全明户型+税费各付+vip房源+附精装修,348万,2室1厅 | 45.61平米 | 南 | 精装 | 高楼层(共6层) | 1978年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-227463a9-6e53-44a7-b846-ba1555d28be4.jpg.296x216.jpg
20201223,徐汇,万体馆,1/4/11地铁口+内环内+西边套全明+南北通透+我有钥匙房主自荐,350万,2室0厅 | 46.95平米 | 南 北 | 简装 | 高楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_f9z3Tyahl.jpg.296x216.jpg
20201223,徐汇,万体馆,售后公房+配套设施齐全+近地铁1/3/12,355万,1室1厅 | 37.43平米 | 南 北 | 简装 | 低楼层(共6层) | 1979年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7a7018ba-7002-4afc-893d-58d7a7fe93a2_1000.jpg.296x216.jpg
20201223,徐汇,万体馆,东边套，边套全明，中间楼层，南北通透，无遮挡房主自荐,388万,2室1厅 | 53.03平米 | 南 北 | 精装 | 中楼层(共6层) | 1953年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WXUIHfZdi_1.jpg.296x216.jpg
20201223,徐汇,万体馆,复式楼房，采光好，满五唯一，双xue区,640万,2室1厅 | 90.87平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_PATjrVl2d_1.jpg.296x216.jpg
20201223,徐汇,万体馆,2000年板式房+中区精装修+近日月光，万体馆+附加车位房主自荐,775万,2室1厅 | 86.51平米 | 南 | 精装 | 中楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-c358e75a-7f61-4f61-8e73-004ab57105b1.jpg.296x216.jpg
20201223,徐汇,万体馆,售后公房+满五年+中高区+看房方便+全明户型房主自荐,650万,2室1厅 | 82.16平米 | 西南 | 简装 | 高楼层(共22层) | 1997年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-79659022-2d67-4886-8e30-3410e1c568f8.jpg.296x216.jpg
20201223,徐汇,万体馆,龙山新村 1室1厅 南,270万,1室1厅 | 41.9平米 | 南 | 简装 | 低楼层(共6层) | 1953年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tkiTM8tvK_1.jpg.296x216.jpg
20201223,徐汇,万体馆,求职和天三+户型南北通+厨卫全明+采光无遮挡房主自荐,425万,2室1厅 | 67.08平米 | 南 | 简装 | 低楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-20db6f41-539c-45ca-a42b-86a25feeaaf2.jpg.296x216.jpg
20201223,徐汇,万体馆,徐家汇内环内+双南两房+精装修+全明户型+看房方便！,345万,2室1厅 | 46.3平米 | 南 | 精装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nWIR1dbNn_1.jpg.296x216.jpg
20201223,徐汇,万体馆,满五唯一税费少+出行方便+三开间朝南+生活设施配套好房主自荐,830万,2室2厅 | 122.14平米 | 南 | 简装 | 高楼层(共24层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/dacf2be6-d8ef-415e-b27c-6f44282478ad_1000.jpg.296x216.jpg
20201223,徐汇,万体馆,售后公房 满五唯一 朝南一居室 产权清晰 交通便利房主自荐,425万,1室1厅 | 55.12平米 | 南 | 简装 | 低楼层(共18层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/7d4dce30-331a-4c6f-8977-14c993559990_1000.jpg.296x216.jpg
20201223,徐汇,万体馆,内环内万体馆+高区景观电梯房+全南采光无遮挡,815万,3室2厅 | 111.1平米 | 南 | 精装 | 中楼层(共24层) | 1998年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20161128/bf7c0711-4999-46b0-8bd4-38d082bb8a72.jpg.296x216.jpg
20201223,徐汇,万体馆,徐家汇 万体馆边上 地铁口  电梯三房 诚意出售,860万,3室2厅 | 111.1平米 | 南 | 精装 | 高楼层(共24层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/b14f8979-3e0f-45e4-a2de-9091c90f8323.jpg.296x216.jpg
20201223,徐汇,万体馆,分门精装大一室一厅一厨一卫，单价低，楼层好看房方便,324万,1室1厅 | 46.58平米 | 南 | 简装 | 中楼层(共6层) | 1953年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ce84acbe2bcea43e3213be0479c358d8-077.jpg.296x216.jpg
20201223,徐汇,万体馆,楼层好 单价低 进地铁 采光充足,290万,2室0厅 | 46.47平米 | 南 北 | 毛坯 | 中楼层(共5层) | 1953年建 | 板楼,http://image1.ljcdn.com/110000-inspection/65785599d5f47a1c141d0753b1e96b08-042.jpg.296x216.jpg
20201223,徐汇,万体馆,内环内一楼带天井，业主诚意看房方便房主自荐,208万,1室0厅 | 30.34平米 | 南 | 简装 | 低楼层(共6层) | 1953年建 | 板楼,http://image1.ljcdn.com/110000-inspection/3daa0401968b354201163c62aed53239-011.jpg.296x216.jpg
20201223,徐汇,万体馆,满五不唯一，售后公房：无增值税，采光好，近地铁房主自荐,495万,2室1厅 | 62.89平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/c46b4cb4-3af0-4aaf-93f7-a9283fed486c.png.296x216.jpg
20201223,徐汇,万体馆,满五+内环+楼层好+采光好+总价低+位置安静,210万,1室0厅 | 32.51平米 | 南 | 精装 | 中楼层(共5层) | 1953年建 | 板楼,http://image1.ljcdn.com/310000-inspection/56a24d39-e688-4986-a5fa-9c18cd03a7e8.jpg.296x216.jpg
20201223,徐汇,万体馆,内环内+Loft复式大两房+南北通透+1998年+单价低！房主自荐,630万,3室1厅 | 104.31平米 | 南 北 | 精装 | 高楼层(共6层) | 1953年建 | 板楼,http://image1.ljcdn.com/110000-inspection/bfcbfe8b-5a5a-4c51-9839-95cd189f48a2.jpeg.296x216.jpg
20201223,徐汇,万体馆,求职南北两房，通透格局好，中高楼层视野阔房主自荐,450万,2室1厅 | 53.18平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1986年建 | 板楼,
20201223,徐汇,万体馆,龙山新村 1室1厅 南 北,260万,1室1厅 | 39.83平米 | 南 北 | 简装 | 低楼层(共6层) | 1953年建 | 板楼,
20201223,徐汇,万体馆,房龄新， 视野开阔，一梯两户，户型方正，地铁口房主自荐,895万,2室2厅 | 109.98平米 | 南 | 简装 | 高楼层(共18层) | 2004年建 | 板楼,
20201223,徐汇,万体馆,徐家汇内环内+地铁1/4/11号线+楼层好+采光好+随时可看,305万,1室1厅 | 39.38平米 | 南 | 简装 | 中楼层(共5层) | 1978年建 | 板楼,
20201223,徐汇,万体馆,此房满五不唯一，通风好，采光充足，配套齐全,900万,3室2厅 | 130.8平米 | 西南 | 精装 | 低楼层(共24层) | 1998年建 | 板楼,
20201223,徐汇,万体馆,小区位于内环，配套成熟，生活很方便，小区管理好新上,758万,2室1厅 | 83.91平米 | 东南 | 精装 | 高楼层(共18层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_kYHRTfjXL_1.jpg.296x216.jpg
20201223,徐汇,万体馆,兑寇球职+田③，满五唯一，带天井南北两房,490万,2室1厅 | 55.38平米 | 南 北 | 简装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oguMCEw2j_1.jpg.296x216.jpg
20201223,徐汇,万体馆,户型方正，窗外无遮挡采光好，楼层好，三分之二唯一房主自荐,265万,1室1厅 | 41.8平米 | 南 | 简装 | 低楼层(共6层) | 1953年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_feO34M5J8_1.jpg.296x216.jpg
20201223,徐汇,万体馆,精装朝南大一房，内环徐家汇万体馆，朝南三楼采光好,250万,1室1厅 | 37平米 | 南 | 简装 | 中楼层(共5层) | 1960年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-47f1a609-ec77-47b7-9853-43b8cc05a870.jpg.296x216.jpg
20201223,徐汇,万体馆,精文公寓 3室2厅 南房主自荐,920万,3室2厅 | 109.73平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gfpGT9mBX_1.jpg.296x216.jpg
20201223,徐汇,万体馆,南北通+双阳台+随时可看+楼下花园+自带会所,1168万,2室2厅 | 121平米 | 南 | 精装 | 中楼层(共36层) | 2005年建 | 板楼,http://image1.ljcdn.com/shfdfs-image/20170916/3f7b8673-4727-4662-bbaf-0d402905b08c.jpg.296x216.jpg
20201223,徐汇,万体馆,天钥新村 1室0厅 南,175万,1室0厅 | 23.1平米 | 南 | 简装 | 高楼层(共5层) | 1960年建 | 板楼,http://image1.ljcdn.com/310000-inspection/22bdc0b3-88fa-4e78-8ed0-68977d2e90ac.jpg.296x216.jpg
20201223,徐汇,万体馆,对口球职四房朝南，户型方正总价低+配套齐全+交通便利房主自荐,930万,4室2厅 | 184.36平米 | 南 | 简装 | 高楼层(共24层) | 1996年建 | 塔楼,
20201223,徐汇,万体馆,万体馆一房+内环内+楼层好+采光佳+房东诚意+看房方便,320万,1室1厅 | 43.21平米 | 南 | 简装 | 中楼层(共5层) | 1953年建 | 板楼,http://image1.ljcdn.com/310000-inspection/a985b2bb-512a-4b48-95e0-5fcbc213bdf9.jpg.296x216.jpg
20201223,徐汇,万体馆,求职+田叁、近地铁、2003年品质小区房主自荐,1350万,4室2厅 | 165.92平米 | 南 北 | 毛坯 | 低楼层(共8层) | 2003年建 | 板楼,
20201223,徐汇,万体馆,50年住宅产权 近漕宝路地铁站/徐汇日月光,2600万,4室3厅 | 531.36平米 | 南 | 简装 | 低楼层(共24层) | 1996年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/00a602d7-e58f-46f8-9d0f-4dd0510159d9.jpg.296x216.jpg
