20201223,宝山,共康,1号线地铁步行500米，南北大两房，视野好房主自荐,660万,2室2厅 | 90.12平米 | 南 | 精装 | 高楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_h91Cnt1di.jpg.296x216.jpg
20201223,宝山,共康,南北通大两房，户型好，位置佳，小区稀有房主自荐,598万,2室2厅 | 98.76平米 | 南 北 | 精装 | 高楼层(共12层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/828590c5-d4a5-4ca3-bef5-9b1c3af8bf9b_1000.jpg.296x216.jpg
20201223,宝山,共康,满五唯一税费少 中间楼层采光好 总价低 置换刚需户型房主自荐,415万,2室1厅 | 63.67平米 | 南 | 简装 | 低楼层(共12层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RYbcQtgA5.jpg.296x216.jpg
20201223,宝山,共康,钻石品质人车分流小区+无增值税无个税+低总价+精装修房主自荐,403万,2室1厅 | 69.43平米 | 南 | 精装 | 低楼层(共17层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/924451bc-c804-4ada-9c30-8750a71146f7_1000.jpg.296x216.jpg
20201223,宝山,共康,人车分流2015年次新房南北二房总价低，普通住宅税费少房主自荐,372万,2室1厅 | 64.55平米 | 南 | 精装 | 低楼层(共17层) | 2015年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-ee5c9b09-ec61-4d05-bf37-c1a1ca5eb1e5.jpg.296x216.jpg
20201223,宝山,共康,电梯顶复！一号线共康路地铁站，学而有成，万达商圈房主自荐,1180万,4室2厅 | 211.23平米 | 南 北 | 精装 | 高楼层(共15层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_j1G4UNNBM_1.jpg.296x216.jpg
20201223,宝山,共康,地铁口和欣很少有的户型 6房3卫 实际面积大 带大花园房主自荐,998万,6室2厅 | 216.82平米 | 南 | 精装 | 低楼层(共16层) | 2007年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_AdBiceBvm_1.jpg.296x216.jpg
20201223,宝山,共康,和欣国际花园，精美倒复式，税费少，小区环境很好房主自荐,680万,5室2厅 | 152.26平米 | 南 | 精装 | 低楼层(共18层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zrvMdiBZi_1.jpg.296x216.jpg
20201223,宝山,共康,满五唯一无个税+精装三年拎包入户地铁实惠三房房主自荐,698万,3室2厅 | 125.07平米 | 南 北 | 精装 | 低楼层(共22层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_97xWekWKH.jpg.296x216.jpg
20201223,宝山,共康,大阳台正气三房，精装修楼层好，您想要的都在这里,888万,3室2厅 | 134.81平米 | 南 北 | 精装 | 中楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/70d00d21-abb9-462b-952a-a181b69f2d20_1000.jpg.296x216.jpg
20201223,宝山,共康,满五唯一 近共康路地铁 万达商圈 45平南北直通客厅房主自荐,880万,3室2厅 | 137.45平米 | 南 | 简装 | 高楼层(共10层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/efaf2cf7-13d9-444c-9287-3df35dd4efe8_1000.jpg.296x216.jpg
20201223,宝山,共康,钻石品质小区 三开间朝南，中控空调加地暖 ，两卫格局房主自荐,680万,3室2厅 | 124.71平米 | 南 北 | 精装 | 低楼层(共17层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_gZ6zA8DkP_1.jpg.296x216.jpg
20201223,宝山,共康,南北通，户型方正，全明户型，精装修房主自荐,898万,3室2厅 | 130.7平米 | 南 | 精装 | 低楼层(共18层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a5d4462d-217f-4bf4-91da-5af3c1b799b8_1000.jpg.296x216.jpg
20201223,宝山,共康,全明户型 满五唯一 采光充足 诚意出售新上,238万,1室1厅 | 48.92平米 | 南 北 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d18c2f8f-df86-40b6-b217-95fd29ad8e57_1000.jpg.296x216.jpg
20201223,宝山,共康,房子满五唯一，精装修，采光还不错，视野无遮挡房主自荐,545万,2室2厅 | 88.03平米 | 南 | 精装 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5e5d6be7-5b09-4289-a2d4-5fa6bda611cb_1000.jpg.296x216.jpg
20201223,宝山,共康,电梯两房，精品装修，小区中间位置，采光视野无遮挡房主自荐,450万,2室2厅 | 86.52平米 | 南 北 | 精装 | 低楼层(共9层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u0FVrHbrU.jpg.296x216.jpg
20201223,宝山,共康,钻石品质小区 南北双阳台 户型方正 精装修,610万,3室2厅 | 109.33平米 | 南 | 精装 | 低楼层(共17层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/515be43a-9dc7-4ce0-9732-706e576423d1_1000.jpg.296x216.jpg
20201223,宝山,共康,共康七村 1室1厅 南新上,227万,1室1厅 | 53.54平米 | 南 | 毛坯 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-5e150431-17c9-438c-b07e-3be25b13549e.jpg.296x216.jpg
20201223,宝山,共康,业主急售，满五唯一 税费少 稀有2+1户型房主自荐,628万,2室2厅 | 113.12平米 | 南 | 精装 | 低楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_kl2FuSufh_1.jpg.296x216.jpg
20201223,宝山,共康,满五唯一，精装修，采光充足，视野辽阔，随时看房,435万,2室2厅 | 81.98平米 | 南 北 | 精装 | 高楼层(共6层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e85faa40-3365-42d5-8b98-fb9b4dfe5b19_1000.jpg.296x216.jpg
20201223,宝山,共康,飞机户型大三房＋满五唯一 税费少房主自荐,660万,3室2厅 | 125平米 | 南 | 简装 | 低楼层(共12层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/bdb2357c-0df0-4054-b2b7-207716a4616c_1000.jpg.296x216.jpg
20201223,宝山,共康,满五唯一，距呼兰路地铁437米，税费低，自带美食广场房主自荐,480万,2室1厅 | 70.21平米 | 南 北 | 精装 | 中楼层(共16层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9DbyVtxBy_2.jpg.296x216.jpg
20201223,宝山,共康,可核普宅，视野无遮挡，地铁966米，产权满五，环境好房主自荐,380万,2室1厅 | 67.6平米 | 南 | 精装 | 低楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c09b3723-2945-4606-8a64-fa4d6916e019_1000.jpg.296x216.jpg
20201223,宝山,共康,全明户型总价低，人车分流品质高，普通住宅税费少房主自荐,370万,1室2厅 | 56.76平米 | 南 | 其他 | 高楼层(共17层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VLi9uvjeD.jpg.296x216.jpg
20201223,宝山,共康,屹立家园 南北大两房 房型正气业主诚心出售！,495万,2室2厅 | 93.81平米 | 南 | 精装 | 中楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-b2da1a27-3e86-4ad8-b24b-cdd43d704f0d.jpg.296x216.jpg
20201223,宝山,共康,底楼复式大三房 近中 心花园位置 精装修拎包入住房主自荐,635万,3室2厅 | 149.63平米 | 南 北 | 精装 | 低楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b35c2116-932b-4aa6-8ca5-6316d86217b2_1000.jpg.296x216.jpg
20201223,宝山,共康,湖景大三房，位置好视野棒，业主诚意出售房主自荐,820万,3室2厅 | 129.87平米 | 南 北 | 简装 | 中楼层(共18层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/35825d23-6b61-4f7a-beb4-4eb9d989d46e_1000.jpg.296x216.jpg
20201223,宝山,共康,中式园林精装大三房地铁1号线步行500米拎包入住房主自荐,790万,3室2厅 | 123.4平米 | 南 北 | 精装 | 低楼层(共18层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_YNduzJVZS_1.jpg.296x216.jpg
20201223,宝山,共康,自住精装，配套齐全，交通便利，满五唯一,342万,2室1厅 | 76平米 | 南 北 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bCt9b9GTM.jpg.296x216.jpg
20201223,宝山,共康,2015年次新房，全明户型，小两房。房主自荐,394万,2室1厅 | 67.32平米 | 南 北 | 简装 | 低楼层(共17层) | 2015年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_0ZsZOeVye.jpg.296x216.jpg
