20201223,杨浦,鞍山,中楼层，南北通透，自住精装修，看房方便，拎包入住,590万,2室1厅 | 58.71平米 | 南 北 | 精装 | 中楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K2JeDxJ25_1.jpg.296x216.jpg
20201223,杨浦,鞍山,内环内 电梯房 视野好 买进价格高 税费少房主自荐,850万,2室2厅 | 93.88平米 | 南 | 精装 | 高楼层(共20层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/98f8afd4-bbe0-454b-9fdf-d883696b7fe5_1000.jpg.296x216.jpg
20201223,杨浦,鞍山,六七楼复式，的房率高，精装修，随时可看,1020万,5室3厅 | 189.59平米 | 南 | 精装 | 高楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MQG8ZhmdW_1.jpg.296x216.jpg
20201223,杨浦,鞍山,96年粮食局原建干部用房，一梯两户，得房率高房主自荐,699万,3室1厅 | 102.36平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mtPSjB9QY_1.jpg.296x216.jpg
20201223,杨浦,鞍山,南北通四房，税费少，8号18号，双轨交通，配套齐全房主自荐,780万,4室1厅 | 109.6平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rn6Ht4N1A_1.jpg.296x216.jpg
20201223,杨浦,鞍山,内中位置，拎包入住，阳光好，业主诚售，钥匙看房。房主自荐,249万,1室1厅 | 41.54平米 | 南 | 精装 | 高楼层(共7层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bknH3jKnn_1.jpg.296x216.jpg
20201223,杨浦,鞍山,精装修+小区中间位置+业主诚意+户型好小区配套成熟,550万,2室1厅 | 55.57平米 | 南 北 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_pNY15Kz1v_1.jpg.296x216.jpg
20201223,杨浦,鞍山,双轨交通+朝南一门关+总价低+户型方正+业主诚意出售房主自荐,210万,1室1厅 | 34.57平米 | 南 | 简装 | 低楼层(共5层) | 1958年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FAKkxwtIx_1.jpg.296x216.jpg
20201223,杨浦,鞍山,复式三房两厅  边套全明  建筑面积101平（套内106平）,750万,3室2厅 | 101.37平米 | 南 | 简装 | 高楼层(共5层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LHw0P3mfG_1.jpg.296x216.jpg
20201223,杨浦,鞍山,对口打一，房龄新原建房，中间位置，中间楼层采光好。新上,285万,1室0厅 | 36.11平米 | 南 | 精装 | 低楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_82zML2wom_1.jpg.296x216.jpg
20201223,杨浦,鞍山,自住精装修，中间楼层，房龄新，业主诚意出售,275万,2室1厅 | 36平米 | 北 | 精装 | 中楼层(共5层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6E4e1L467_1.jpg.296x216.jpg
20201223,杨浦,鞍山,内环品质小区，三房二厅南北直通，精装修，户型正气,1360万,3室2厅 | 147.72平米 | 南 北 | 精装 | 低楼层(共18层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Idqayt0cr_1.jpg.296x216.jpg
20201223,杨浦,鞍山,8号线高档静谧小区+三十多万精装+三开间朝南满五唯一,855万,2室2厅 | 89.08平米 | 南 北 | 精装 | 低楼层(共26层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_l76XU9rcd_1.jpg.296x216.jpg
