20201223,杨浦,五角场,户型正气+交通便利+五角场商圈+边套全明+无贷款抵押房主自荐,815万,3室2厅 | 137.54平米 | 南 北 | 简装 | 低楼层(共28层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_HhFAJAPVq_1.jpg.296x216.jpg
20201223,杨浦,五角场,满五年唯一 税费少 精装修 诚意出售,340万,2室1厅 | 60.96平米 | 南 北 | 精装 | 低楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GvjJphfLU_1.jpg.296x216.jpg
20201223,杨浦,五角场,售后公房+满五唯一+产证面积无阳台边明户+12平天井房房主自荐,352万,2室1厅 | 55.07平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4mPk10azv_1.jpg.296x216.jpg
20201223,杨浦,五角场,精装修+房型正气+一南一北，光照充足，满五唯一房主自荐,320万,2室1厅 | 50.62平米 | 南 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-b82dfe74-0dde-4cda-bb1d-c2d0d2223f06.jpg.296x216.jpg
20201223,杨浦,五角场,房型好采光好+1998年小区+复旦大学房主自荐,535万,2室2厅 | 71.17平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-5b9ae1b2-b0e3-4316-8ffc-3279b97a0e22.png.296x216.jpg
20201223,杨浦,五角场,非顶楼+中间位置+满五唯一+地铁280米+双轨交房主自荐,205万,1室0厅 | 30.34平米 | 南 北 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vC2oBm37E.jpg.296x216.jpg
20201223,杨浦,五角场,逸仙路773弄 1室1厅 南,180万,1室1厅 | 28.94平米 | 南 | 简装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_EyBWUYMvk_1.jpg.296x216.jpg
20201223,杨浦,五角场,一手商品房，一梯三户，房型方正，看房随时,520万,3室1厅 | 84平米 | 南 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lTsj3X18J_1.jpg.296x216.jpg
20201223,杨浦,五角场,双南全明户型，户型方正视野采光好，满五唯一税费低房主自荐,450万,2室1厅 | 63.79平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YPCLRwXQE_1.jpg.296x216.jpg
20201223,杨浦,五角场,北茶园一室一厅，采光好，地段成熟生活交通便利。,258万,1室1厅 | 44.31平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-d199b3ba-4ff5-491e-a249-cffa194bee62.jpg.296x216.jpg
