20201223,宝山,张庙,【美丽家园】【舒适生活】【诚意出售】新上,358万,2室1厅 | 74.15平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_68K0CyhYO_1.jpg.296x216.jpg
20201223,宝山,张庙,通河一村+满五唯一+高区景观房+采光充足+双南2房房主自荐,328万,2室1厅 | 58.11平米 | 南 | 精装 | 高楼层(共13层) | 1988年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_LLCx7kFDs_1.jpg.296x216.jpg
20201223,宝山,张庙,一梯两户，满5年唯一，楼层好!诚意出售,254万,2室1厅 | 55.86平米 | 南 | 简装 | 低楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/2b52aa3a-5db8-4251-9fda-6e8ab08be620_1000.jpg.296x216.jpg
20201223,宝山,张庙,精装修，南北全明格局好，拎包入住，业主诚意出售房主自荐,268万,2室1厅 | 65.11平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2oe2FV02E_1.jpg.296x216.jpg
20201223,宝山,张庙,一楼天井+南北两房+使用面积大+看房方便,265万,2室1厅 | 59.77平米 | 南 | 简装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MTpmqQnBA_1.jpg.296x216.jpg
20201223,宝山,张庙,泗塘四村 1室1厅 南新上,180万,1室1厅 | 40.33平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TAcfgMCkt_1.jpg.296x216.jpg
20201223,宝山,张庙,呼玛二村 精装大一房 业主置换诚心出售此房屋！新上,190万,1室1厅 | 47.26平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fc2f4935-5461-4456-ad83-756b90626b71_1000.jpg.296x216.jpg
20201223,宝山,张庙,看房子联系小吴：双南户型采光好，交通便利新上,339万,2室1厅 | 71.09平米 | 南 | 精装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Hrv2P74aF_1.jpg.296x216.jpg
20201223,宝山,张庙,精装顶楼复式，南北四房，采光好，业主诚意出售房主自荐,650万,4室3厅 | 167.34平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f44291dc-f219-4469-b4ae-8098c2b9bfe2_1000.jpg.296x216.jpg
20201223,宝山,张庙,店长推荐+南北全明户型+精装修三年+满五房主自荐,400万,2室2厅 | 80.85平米 | 南 | 精装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/69000405-9600-498b-a45b-a2ea10f4e9bc_1000.jpg.296x216.jpg
20201223,宝山,张庙,此房看房方便，低楼层，配套设施齐全，业主诚意出售,340万,4室1厅 | 84.23平米 | 南 | 简装 | 低楼层(共6层) | 1959年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H3WWNuT2m_1.jpg.296x216.jpg
20201223,宝山,张庙,泗塘五村-南北两房，非顶楼-诚意出售,250万,2室1厅 | 62.05平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/310000-inspection/test-437451d4-f0f1-42a7-8712-2714c5b4a45e.png.296x216.jpg
20201223,宝山,张庙,满五唯一 税少 随时可看 不临街采光好 视野开阔房主自荐,335万,2室1厅 | 72.77平米 | 南 | 精装 | 低楼层(共13层) | 1998年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/dc32c955-b830-4c50-8af8-3b94aca1199b_1000.jpg.296x216.jpg
20201223,宝山,张庙,满五唯一，前后采光无遮挡，近地铁，近万达。配套齐全,533万,2室2厅 | 112.1平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-42508323-b7df-40d7-9026-f6d5d3a374ae.jpg.296x216.jpg
20201223,宝山,张庙,南北两房，业主诚心出售，看房提前预约房主自荐,410万,2室1厅 | 79.49平米 | 南 | 精装 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nqdUcjx50_1.jpg.296x216.jpg
20201223,宝山,张庙,此房满五唯一税少   房子采光好   位置佳   诚意出售,385万,2室1厅 | 68.65平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Jk7OtY55o_1.jpg.296x216.jpg
20201223,宝山,张庙,民主花园，满二唯一，精装修，拎包入住房主自荐,410万,2室1厅 | 79.55平米 | 南 北 | 精装 | 低楼层(共18层) | 1996年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_SuRmkKqM9_1.jpg.296x216.jpg
20201223,宝山,张庙,适用型三房，有装修，近地铁，省心，置换改善不错,475万,3室1厅 | 98.41平米 | 南 北 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dRSXGEvZG_1.jpg.296x216.jpg
20201223,宝山,张庙,满五唯一，楼层好 采光优异 业主诚意出售,285万,2室1厅 | 69.76平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vgxmngGkg_1.jpg.296x216.jpg
20201223,宝山,张庙,03年商品房 距通河新村880米 顶楼复式 前排正对花园房主自荐,680万,3室2厅 | 141.18平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c8ca241e-34e0-4b8d-b918-a2402b273ac9_1000.jpg.296x216.jpg
20201223,宝山,张庙,民主花园，大面积三房，满五唯一，业主诚意房主自荐,650万,3室2厅 | 159.93平米 | 南 | 简装 | 低楼层(共18层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_i3p49RcM2_1.jpg.296x216.jpg
20201223,宝山,张庙,跃层，格局好，采光好，近1号线共康路地铁站，近万达房主自荐,660万,3室2厅 | 130.71平米 | 南 | 精装 | 高楼层(共5层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6c90fPVJd_1.jpg.296x216.jpg
20201223,宝山,张庙,宏裕苑大三房，三开间朝南，满五唯一房主自荐,680万,3室2厅 | 152.6平米 | 南 北 | 简装 | 中楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ae1a6b8e-b40a-4f6f-8095-9332c51b8ec8_1000.jpg.296x216.jpg
20201223,宝山,张庙,高层视野好，业主诚心出售，欢迎看房房主自荐,568万,4室3厅 | 119.37平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/10b8bec6-54da-4c37-8a6c-04aadbf1c726_1000.jpg.296x216.jpg
20201223,宝山,张庙,满五唯一，楼层好 采光优异 业主诚意出售,180万,1室1厅 | 45.98平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_criA8bAqm_1.jpg.296x216.jpg
20201223,宝山,张庙,定好房子急售，精装修一年，一号线万达家乐福配套房主自荐,439万,2室2厅 | 83.3平米 | 南 北 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1GmszH7rp_1.jpg.296x216.jpg
