20201223,闵行,闵浦,此房原始动迁，房东诚意，楼层好，位置佳必看好房,235万,2室1厅 | 70.85平米 | 南 北 | 毛坯 | 中楼层(共6层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xPNgREOCx.jpg.296x216.jpg
20201223,闵行,闵浦,地铁口的商品房，舒适的居住环境，南北通透的2房，必看好房,265万,2室1厅 | 75.19平米 | 南 北 | 精装 | 高楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_08G7ehvVA_1.jpg.296x216.jpg
20201223,闵行,闵浦,原始动迁，采光佳，免增值税，近地铁，交通方便必看好房,290万,3室2厅 | 96.79平米 | 南 | 毛坯 | 低楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/c17dc5eefe83f0a3e9b1009fb4ad99d9-093.jpg.296x216.jpg
20201223,闵行,闵浦,满五唯一税费少+南北通双阳台+小区位置好必看好房,270万,2室2厅 | 78.47平米 | 南 北 | 精装 | 低楼层(共9层) | 2008年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/d124f0ed-45a6-4e0d-9a7f-51ed6e2f1c21.png.296x216.jpg
20201223,闵行,闵浦,户型好+电梯中楼层+地铁300米+50到人民必看好房,275万,2室2厅 | 74.59平米 | 南 | 简装 | 中楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/25fd5831-c09b-4c97-977f-bc110835c6c4.png.296x216.jpg
20201223,闵行,闵浦,南北通户型  得房率高 税费少  出行便利 生活配套齐全必看好房,240万,2室2厅 | 72.15平米 | 南 北 | 简装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/26fbdf5b-5028-4da0-a0d7-6122908e1b92.png.296x216.jpg
20201223,闵行,闵浦,总价低、户型正气、南北通户型、配套完善房主自荐,596万,4室2厅 | 148平米 | 南 | 精装 | 低楼层(共12层) | 2010年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-7ffaf717-6a86-492c-9b78-a4a2310a9ec6.jpg.296x216.jpg
20201223,闵行,闵浦,南北通户型，业主诚售，精装修。诚意出售。看房方便。新上,250万,2室2厅 | 74.5平米 | 南 北 | 精装 | 低楼层(共17层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7QnunaX1K.jpg.296x216.jpg
20201223,闵行,闵浦,配套成熟，环境优美，原始动迁，交通方便新上,212万,2室1厅 | 74.57平米 | 南 北 | 毛坯 | 低楼层(共14层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PbhZN9g2o_1.jpg.296x216.jpg
20201223,闵行,闵浦,近地铁 电梯大两房 精装修 配套齐全 交通便利新上,375万,2室2厅 | 92.22平米 | 南 北 | 精装 | 中楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_S8rlivY4D.jpg.296x216.jpg
20201223,闵行,闵浦,中间楼层，花园位置，配套齐全，原始动迁房主自荐,223万,2室1厅 | 73.62平米 | 南 北 | 毛坯 | 中楼层(共11层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FwoHkjcAa_1.jpg.296x216.jpg
20201223,闵行,闵浦,浦江馨都近地铁站纯毛坯两房房源房主自荐,280万,2室2厅 | 75.92平米 | 南 | 毛坯 | 低楼层(共17层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xYXEnAGWK_1.jpg.296x216.jpg
20201223,闵行,闵浦,南北通双阳台，落地阳台采光好，电梯高层，配套成熟。,290万,2室2厅 | 78.22平米 | 南 北 | 简装 | 高楼层(共11层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IMI1DXids_1.jpg.296x216.jpg
20201223,闵行,闵浦,急急！税费少，精装修，近地铁，看房方便，诚心出售新上,275万,2室2厅 | 76.51平米 | 南 | 精装 | 低楼层(共7层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Aw7toejZB.jpg.296x216.jpg
20201223,闵行,闵浦,小区出门就是地铁，出行方便，房子满五唯一新上,190万,1室1厅 | 55.23平米 | 南 | 精装 | 低楼层(共11层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6ckj5g6eP_1.jpg.296x216.jpg
20201223,闵行,闵浦,带阁楼，近轨交，商品房小区，业主诚心出售新上,283万,2室2厅 | 73.02平米 | 南 北 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VpYflnscW_1.jpg.296x216.jpg
20201223,闵行,闵浦,虹浦新城南区 2室1厅 南 北新上,260万,2室1厅 | 75.93平米 | 南 北 | 简装 | 中楼层(共14层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_t3uK2e6Cb_1.jpg.296x216.jpg
