20201223,徐汇,徐家汇,徐家汇地铁口，03年品质小区，南北通大三房，中间楼层必看好房,1400万,3室2厅 | 155.85平米 | 南 | 简装 | 中楼层(共32层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3WD2pflxk_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,内环内 双南两房中楼层 配套全，看房方便，满五不唯一必看好房,420万,2室1厅 | 57.31平米 | 南 | 简装 | 中楼层(共5层) | 1965年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qPiJTgNrI_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,满五年唯一，精装修拎包入住，徐家汇地铁站交通方便必看好房,760万,2室2厅 | 92.6平米 | 南 | 精装 | 低楼层(共23层) | 1991年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/fc2509fc-12d2-4dac-9f2d-6a9e900a5f1d_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,总价低+看房方便+近学府，近地铁必看好房,550万,1室1厅 | 48.57平米 | 南 | 简装 | 高楼层(共7层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0ae8f2d2-9639-454d-a823-a04ab00c0b28_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,低总价，双东南向，文定居委，满五唯一自带5500租约必看好房,620万,2室1厅 | 48.22平米 | 东 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MZqQfsMHe_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,92年房龄新 一梯三户 中间楼层  全明户型 位置安静必看好房,305万,1室0厅 | 35.95平米 | 南 | 简装 | 中楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wDiCwOTzC_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,徐家汇  边套全明 朝南大一房  售后公房税费少必看好房,610万,2室1厅 | 50.19平米 | 东南 | 精装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_phaCw4SmB_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,品质小区vip+南北直通+精装修拎包住+阳光充足+钥匙房必看好房,1315万,2室2厅 | 133.2平米 | 南 北 | 精装 | 低楼层(共25层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a211f03e-d2c6-4865-bb7e-589f44e9ff7e_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,谨斜小区 2室1厅 南必看好房,383万,2室1厅 | 51.46平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OEjHNRpyD_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,售后公房，满五唯一，中间楼层。必看好房,515万,2室1厅 | 47.88平米 | 南 | 精装 | 中楼层(共7层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d84adb0f-4673-4aa9-8565-4f1b037b9292_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,汇师双天井小院鸟语花香，南北通大两房满五唯一税费少必看好房,950万,2室2厅 | 78.96平米 | 南 北 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vHnADtGpI_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,书香门第，小三房，采光无遮挡！满五唯一！必看好房,753万,3室1厅 | 77.23平米 | 南 西南 | 精装 | 低楼层(共24层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/3332354d-9a9e-4f77-aa53-62ecf95de391_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,2000年电梯房，两房朝南，全明户型，各方面配套齐全！必看好房,980万,2室2厅 | 96.29平米 | 南 | 精装 | 中楼层(共20层) | 2000年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_8XRSJOBW9_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,汇师一房 精装修 朝南 房子税费低必看好房,568万,1室1厅 | 40.05平米 | 南 | 精装 | 高楼层(共7层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/e286fbcd-ab00-4e54-b50a-d2c402070246_1000.jpg.296x216.jpg
20201223,徐汇,徐家汇,此房满五年不唯一，售后公房，配套成熟，采光无遮挡必看好房,580万,2室1厅 | 59.13平米 | 南 北 | 简装 | 中楼层(共7层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_aKUrjqGBT_1.jpg.296x216.jpg
20201223,徐汇,徐家汇,满五唯一，精装修拎包入住，边套户型必看好房,459万,1室2厅 | 45.66平米 | 南 | 精装 | 中楼层(共4层) | 1971年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2Sa5RvXRv_1.jpg.296x216.jpg
