20201223,闵行,静安新城,中间楼层南北大两房，业主诚意出售，看房随时,415万,2室1厅 | 65.02平米 | 南 | 简装 | 中楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_csayjoW5X_1.jpg.296x216.jpg
20201223,闵行,静安新城,品质小区，电梯一房！税费少！业主诚意出售！房主自荐,310万,1室1厅 | 45.07平米 | 东 | 精装 | 高楼层(共11层) | 2008年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-ac326530-0112-4391-b4e2-3fe59aabca62.jpg.296x216.jpg
20201223,闵行,静安新城,稀有洋房，板式户型，9号地铁合川路700米，业主诚意,999万,3室2厅 | 138.55平米 | 南 | 精装 | 高楼层(共8层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hcUCYpcmp_1.jpg.296x216.jpg
20201223,闵行,静安新城,14年次新小区 经典板式 户型优质 全明 18年底新装修房主自荐,750万,2室2厅 | 95.34平米 | 南 | 精装 | 低楼层(共13层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ef647995-e4dd-43b2-96b3-7c82b2f1f117_1000.jpg.296x216.jpg
20201223,闵行,静安新城,静安新城全明2房 边套户型 前后通透开阔 配套丰富便利,375万,2室1厅 | 66.1平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OytAifbrf_1.jpg.296x216.jpg
20201223,闵行,静安新城,九歌上郡新上架两房，全新装修家具家电全配房主自荐,830万,2室2厅 | 102.6平米 | 南 | 精装 | 低楼层(共12层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_rQVFYvNFT_1.jpg.296x216.jpg
20201223,闵行,静安新城,静城公寓 电梯大一房  增值税和个税加起来五千元左右房主自荐,475万,1室1厅 | 73.89平米 | 南 | 精装 | 低楼层(共17层) | 2001年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_yHesIkTfH_1.jpg.296x216.jpg
20201223,闵行,静安新城,加装电梯提上日程，电梯费已经缴纳，万事俱备只欠施工房主自荐,385万,2室1厅 | 65.2平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DEUPH2ZGi_1.jpg.296x216.jpg
20201223,闵行,静安新城,边套喜鹊房！满五年唯一！精装修全明中间楼层不靠路！房主自荐,315万,1室1厅 | 46.93平米 | 西 | 精装 | 中楼层(共11层) | 2008年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_qeU2iyZNj.jpg.296x216.jpg
20201223,闵行,静安新城,双南小户型，近地铁，售后公房，炙热地段，急售房主自荐,374万,2室1厅 | 64.91平米 | 南 | 简装 | 高楼层(共7层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_NtRHs5qyi_1.jpg.296x216.jpg
20201223,闵行,静安新城,电梯房+税费少+采光好+业主诚意出售房主自荐,324万,1室1厅 | 56.93平米 | 南 | 精装 | 低楼层(共24层) | 1998年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/pc1_g9CDTUrXd_1.jpg.296x216.jpg
20201223,闵行,静安新城,三层复式！采光好！户型时尚！年轻人手选！,980万,3室2厅 | 123.53平米 | 南 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MDUegkj6P.jpg.296x216.jpg
20201223,闵行,静安新城,静安新城十一区 2室1厅 南新上,375万,2室1厅 | 55.57平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/134474ea-9c5a-4aac-b7ff-b00b6ea0e48f.jpg.296x216.jpg
20201223,闵行,静安新城,大上海国际花园酒店公寓 1室1厅 东 南,200万,1室1厅 | 44.01平米 | 东 南 | 精装 | 中楼层(共11层) | 2008年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/f0ff182a-13e6-4d38-9280-c39af5a85512.png.296x216.jpg
20201223,闵行,静安新城,小区在售中间楼层双南两房+采光好+税费少新上,365万,2室1厅 | 60.32平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/e75a5ed3-fe80-4d0a-be7c-f47a4389d6f3.png.296x216.jpg
20201223,闵行,静安新城,朝南户型，带两个小阳台，精装修，产权63年,320万,2室1厅 | 70平米 | 南 西南 | 精装 | 低楼层(共11层) | 2008年建 | 塔楼,http://image1.ljcdn.com/x-se/hdic-frame/prod-9c1a74a8-cd9c-415e-8f88-a2ba3b1d6e60.png.296x216.jpg
20201223,闵行,静安新城,高层电梯房 低总价 双南户型 次新装修 到价可售！新上,490万,2室1厅 | 73.68平米 | 南 | 精装 | 中楼层(共24层) | 1998年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/45caa014-0a9d-4344-a50b-4146202237b0.png.296x216.jpg
20201223,闵行,静安新城,vip稀 有中间楼层 南北直通 小区中间 大两房 诚意出售新上,610万,2室2厅 | 90.35平米 | 南 | 简装 | 中楼层(共7层) | 1996年建 | 板楼,
20201223,闵行,静安新城,大上海国际花园酒店公寓 1室1厅 南,195万,1室1厅 | 34.77平米 | 南 | 精装 | 低楼层(共11层) | 2008年建 | 塔楼,
20201223,闵行,静安新城,香港园电梯房，外销品质商品房，大花园位置房主自荐,455万,1室1厅 | 70.41平米 | 东南 | 简装 | 低楼层(共12层) | 1999年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/9349d8bd-795f-4a6a-b6cf-37bb6c40819b.png.296x216.jpg
20201223,闵行,静安新城,小区中间位置，全明户型，采光好，房东诚意出售。房主自荐,305万,1室1厅 | 49.72平米 | 南 | 毛坯 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/b1ecbd27-00f0-4e30-baa6-93c8f6a73125.png.296x216.jpg
20201223,闵行,静安新城,天安豪园近地铁口新上大2房，户型方正，采光极好房主自荐,740万,2室1厅 | 91.64平米 | 南 | 精装 | 高楼层(共13层) | 2011年建 | 板楼,http://image1.ljcdn.com/x-se/hdic-frame/test-6b7068da-b453-4234-8de8-e8451bea14c7.png.296x216.jpg
