20201223,长宁,镇宁路,94产权公房.苏路地铁.交通方便,450万,2室1厅 | 59平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-993ad078-385a-4cf3-a74c-fac5ee0ec540.jpg.296x216.jpg
20201223,长宁,镇宁路,满五年不唯一，朝南。采光好，交通便利，看房方便。,365万,1室1厅 | 40.3平米 | 南 | 简装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_30zCzjpYD_1.jpg.296x216.jpg
20201223,长宁,镇宁路,泰安路华山路+1994年品质公房+好楼层+近地铁,470万,1室1厅 | 50.97平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JlSYM1p8F_1.jpg.296x216.jpg
20201223,长宁,镇宁路,进地铁，遥看小洋房，近看静安寺优质两房！房主自荐,370万,2室0厅 | 49.26平米 | 东南 西 | 简装 | 中楼层(共7层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FwqY85M8p_1.jpg.296x216.jpg
20201223,长宁,镇宁路,百年风貌的地段|户型方正|舒适的层高|得房率高,3300万,3室2厅 | 195.86平米 | 南 | 精装 | 高楼层(共7层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bhbQsaLyk_1.jpg.296x216.jpg
20201223,长宁,镇宁路,江苏路地铁口 96年房龄，次顶楼 采光充足房主自荐,300万,1室1厅 | 41.23平米 | 南 | 简装 | 高楼层(共7层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_0M5eQcu9N_1.jpg.296x216.jpg
20201223,长宁,镇宁路,江苏路电梯房一房一厅交通出行方便房主自荐,298万,1室1厅 | 38.35平米 | 东南 | 精装 | 高楼层(共15层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_rbK3ltwYE_1.jpg.296x216.jpg
20201223,长宁,镇宁路,售后公房+电梯五楼+精装修+无增值税房主自荐,720万,1室2厅 | 74.23平米 | 东南 | 精装 | 低楼层(共18层) | 1992年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-fa3db380-ca5b-4828-a544-4cc237033918.jpg.296x216.jpg
20201223,长宁,镇宁路,近2、11号线江苏路站，看房方便，诚意出售,270万,1室1厅 | 39.99平米 | 东 东南 | 精装 | 高楼层(共7层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/ebd0187d-0180-4c85-921b-0cd599387203_1000.jpg.296x216.jpg
20201223,长宁,镇宁路,泰安路华山路近交大装修好拎包入住总价低出行方便,290万,1室1厅 | 32.65平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GD267bgs2_1.jpg.296x216.jpg
20201223,长宁,镇宁路,地铁口+景观房+近商圈+配套齐全,540万,2室1厅 | 69.73平米 | 东北 | 精装 | 中楼层(共25层) | 1995年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_6V6pGQuB4_1.jpg.296x216.jpg
20201223,长宁,镇宁路,中间楼层西边套！满五唯一，户型方正，地铁口房主自荐,335万,2室0厅 | 42.91平米 | 南 | 精装 | 中楼层(共7层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u91d6DlEu_1.jpg.296x216.jpg
20201223,长宁,镇宁路,红丁香，人文底蕴醇厚，户型正气大三房，中高区景观房,1800万,3室2厅 | 161.68平米 | 南 | 精装 | 中楼层(共31层) | 2000年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_5Z3BHub58_1.jpg.296x216.jpg
20201223,长宁,镇宁路,兴国路武康路整栋  产权新里  边间装修好,2200万,4室2厅 | 160.03平米 | 南 | 精装 | 低楼层(共3层) | 1949年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r8zcAjVWu_1.jpg.296x216.jpg
20201223,长宁,镇宁路,湖南路地段，平层大三房，三年出一套的好房子,3050万,3室2厅 | 195.86平米 | 南 | 精装 | 中楼层(共7层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zey0884qM_1.jpg.296x216.jpg
20201223,长宁,镇宁路,政宁小区唯一一套两房全南户型，接地气!房主自荐,515万,2室1厅 | 61.8平米 | 南 | 简装 | 低楼层(共22层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_kSHZ8oTZT_1.jpg.296x216.jpg
20201223,长宁,镇宁路,业主诚意出售，全明户型，满五年，产权清晰，带车位,910万,3室2厅 | 122.02平米 | 南 | 精装 | 中楼层(共24层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zYWRgKRUH_1.jpg.296x216.jpg
20201223,长宁,镇宁路,丁香公寓 3室2厅 南,2050万,3室2厅 | 160.29平米 | 南 | 精装 | 高楼层(共11层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_S4Mt27Adw_1.jpg.296x216.jpg
20201223,长宁,镇宁路,特殊户型：唯一复式带50平米花园，4房格局，稀Sale!,2020万,4室2厅 | 176.54平米 | 西南 | 精装 | 低楼层(共38层) | 2002年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_GMZTCkAGA_1.jpg.296x216.jpg
20201223,长宁,镇宁路,专注镇宁路低总价两房，精致装修价格又降了哈,355万,2室0厅 | 49.26平米 | 东南 西北 | 精装 | 中楼层(共7层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RewkcbV3m_1.jpg.296x216.jpg
20201223,长宁,镇宁路,少有二次装修+超高区一览无余+近全明户型,1980万,3室2厅 | 146.54平米 | 南 | 精装 | 中楼层(共38层) | 2002年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_cjIxteUI9_1.jpg.296x216.jpg
20201223,长宁,镇宁路,泰安路华山路路口 经典朝南户型 总价低,506万,2室0厅 | 49.92平米 | 北 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mlDOxXIIF_1.jpg.296x216.jpg
20201223,长宁,镇宁路,前面无遮挡，南北通，采光好，低总价,370万,2室1厅 | 40.93平米 | 南 | 简装 | 低楼层(共5层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UgwF93eeF_1.jpg.296x216.jpg
20201223,长宁,镇宁路,南北通两房，满五不唯一。全明户型，采光好。,690万,2室1厅 | 86.94平米 | 南 | 简装 | 中楼层(共22层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_9bUBgSwH0_1.jpg.296x216.jpg
20201223,长宁,镇宁路,镇宁路+双南户型+电梯房+采光无遮挡,470万,2室1厅 | 61.21平米 | 南 | 简装 | 低楼层(共22层) | 1994年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_KYwLbgbuD_1.jpg.296x216.jpg
20201223,长宁,镇宁路,地铁2/11号线+此价带车位+无抵押无户口+满五唯一,800万,2室2厅 | 106.83平米 | 西北 西 | 简装 | 低楼层(共29层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_QeWiqGRvI_1.jpg.296x216.jpg
20201223,长宁,镇宁路,地铁2/11号线+97年外销房+视野开阔+产权清晰+诚售房主自荐,715万,2室2厅 | 87.35平米 | 西 西北 | 精装 | 高楼层(共29层) | 1997年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-a6cfd5e5-b68c-4176-bff5-9518570b6f2e.jpg.296x216.jpg
20201223,长宁,镇宁路,红丁香顶复，小区仅有四套，房型正气，多阳台,3160万,4室2厅 | 275.58平米 | 南 | 精装 | 高楼层(共11层) | 2000年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-e5e77d42-7bed-42e6-870f-3e4c7df6b7ee.jpg.296x216.jpg
