20201223,宝山,淞宝,永清新村295万三居室 满五年唯一 花园位置 采光佳！房主自荐,295万,3室1厅 | 66.52平米 | 南 北 | 简装 | 低楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_F92QLQ5pD_1.jpg.296x216.jpg
20201223,宝山,淞宝,全明三房 两厅 两卫 采光好 电梯房房主自荐,535万,3室2厅 | 120.59平米 | 南 | 简装 | 中楼层(共28层) | 1998年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-6c9e0fa2-7118-4ed7-b276-8a66e546eb8f.jpg.296x216.jpg
20201223,宝山,淞宝,海滨新村 中间楼层 39.35平 142万房主自荐,142万,1室1厅 | 39.35平米 | 南 | 简装 | 中楼层(共5层) | 1980年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RVFhRAVz9.jpg.296x216.jpg
20201223,宝山,淞宝,密山二村精装修一室户 采光好 近地铁 购物出行都方便房主自荐,152万,1室0厅 | 36.39平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MuC7fF9s1.jpg.296x216.jpg
20201223,宝山,淞宝,此房满五年唯一两房近地铁视野好采光好,215万,2室1厅 | 46.94平米 | 南 | 精装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MaPEiaGP5.jpg.296x216.jpg
20201223,宝山,淞宝,海江二村 中间楼层  一室户  诚意出售房主自荐,150万,1室1厅 | 36.55平米 | 南 | 毛坯 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Jk9MFYmvi.jpg.296x216.jpg
20201223,宝山,淞宝,海滨八村格局好，视野开阔，采光充房主自荐,125万,1室0厅 | 28.84平米 | 南 | 毛坯 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9VZ3PFoKL.jpg.296x216.jpg
20201223,宝山,淞宝,密山二村南向一房 中楼层 采光不错房主自荐,147万,1室1厅 | 33.62平米 | 南 | 简装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_uHO9Isap1.jpg.296x216.jpg
20201223,宝山,淞宝,全明一室一厅户型 中间楼层 满五年 业主诚意出售,176万,1室1厅 | 41.42平米 | 南 | 简装 | 中楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HUz2smcGu_1.jpg.296x216.jpg
20201223,宝山,淞宝,宝钢一村经典一室户，满五唯一，采光好，交通方便房主自荐,300万,1室1厅 | 35.47平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0KabgbW5H_1.jpg.296x216.jpg
20201223,宝山,淞宝,全明一室 采光好 新装修拎包入住房主自荐,160万,1室1厅 | 35.47平米 | 南 | 精装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iutkj6GX2.jpg.296x216.jpg
20201223,宝山,淞宝,近地铁，总价低，采光好，拎包入住,208万,2室1厅 | 57.93平米 | 南 北 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_iNLb4dTlR.jpg.296x216.jpg
