20201223,普陀,甘泉宜川,内环边中楼层电梯房 两房朝南 售后公房精装修拎包入住,470万,2室1厅 | 78.02平米 | 南 | 精装 | 中楼层(共22层) | 1997年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Ef3Ucart5_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,近地铁口500米 不靠马路 一梯三户 三开间朝南 无遮挡,405万,2室1厅 | 68.23平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q4blVG8rA_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,此房满五年 双东单阳台两房 低税费无抵押 采光好,288万,2室1厅 | 54.58平米 | 东 | 精装 | 低楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0nmV5viGb_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,售后公房无增值税+满五唯一+精装修+双南户型全明户型房主自荐,465万,2室1厅 | 69.37平米 | 南 | 精装 | 中楼层(共22层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_5WjLdALGh_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,志丹公寓 4室2厅 南,1100万,4室2厅 | 223.28平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HUEJaigUw_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,中楼层 一室半户型 采光好 看房随时房主自荐,222万,1室1厅 | 41.4平米 | 南 | 简装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_S2Tk6nZwE_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,近地铁，小区中间位置，近同济医院新上,275万,2室0厅 | 49.28平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_jmBUAeYbc_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,近地铁，低楼层，内环边，总价低，小区环境舒适。新上,200万,1室1厅 | 36.63平米 | 南 | 精装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BcMPL749c_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,内环边甘泉板块精装修朝南一室 中间楼层 满五唯一新上,168万,1室0厅 | 30.98平米 | 南 | 精装 | 中楼层(共6层) | 1974年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SKbQEkbg5_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,朝南两房朝南而向，采光良好，亲和自然户型方正实用.,328万,2室1厅 | 54.9平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fa2062cf-23e5-46fc-b8c4-fe0bb781a122_1000.jpg.296x216.jpg
20201223,普陀,甘泉宜川,此房满五年 双东双阳台两房 低税费无抵押 采光好,273万,2室1厅 | 59.57平米 | 东 | 精装 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iXOzWLKhE_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,泰山二村，边套全明户型，价格可谈，价格可谈房主自荐,223万,1室1厅 | 40.22平米 | 南 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_O2j3Js7cf_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,合阳小区 2室1厅 南新上,299万,2室1厅 | 53.32平米 | 南 | 精装 | 低楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xafXAtsR0_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,出行便利，购物方便，就医有同济医院，采光通风好房主自荐,276万,2室1厅 | 56.54平米 | 南 北 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1dFSoWenw_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,双山小区 2室1厅 南 北,328万,2室1厅 | 59.63平米 | 南 北 | 精装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8C0zE6hsq_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,内环边低总价朝南一室半、成熟商圈、业主诚售房主自荐,172万,1室1厅 | 34.64平米 | 南 | 精装 | 中楼层(共7层) | 1975年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_K7oBzeLQN_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,中楼层、满五唯一、婚房装修、户型朝南,193万,1室1厅 | 35.18平米 | 南 | 精装 | 中楼层(共6层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_BRot7OSOl_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,全明户型 南北两房 业主诚意出售 看房方便房主自荐,243万,2室0厅 | 47.97平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,http://image1.ljcdn.com/310000-inspection/prod-ae8ca129-84db-4401-a739-69431cd561e5.jpg.296x216.jpg
20201223,普陀,甘泉宜川,边套全明小三房，中间楼层，环境安谧。房主自荐,410万,3室1厅 | 75.99平米 | 南 | 毛坯 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6tY3sotj9_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,内环内 97年 一楼两房一厅 总价低 位置好...........,370万,2室1厅 | 67.53平米 | 东 | 精装 | 高楼层(共7层) | 1996年建 | 塔楼,http://image1.ljcdn.com/310000-inspection/prod-0bf0d8ff-4cd2-4238-9104-ef37c8a7ece3.jpg.296x216.jpg
20201223,普陀,甘泉宜川,近地铁+钥匙房+满三年+东边套+全明户+诚意出售房主自荐,203万,1室1厅 | 42.12平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_kNh0xJBvb_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,精装修双南两房，适合年轻人居住，房东诚意出售房主自荐,235万,2室1厅 | 46.1平米 | 南 | 简装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_WjpZCfgMr_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,7线新村路地铁口 满五唯一 精装修 朝南2房 钥匙房急售房主自荐,265万,2室0厅 | 49.2平米 | 南 | 精装 | 中楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1bSCvp5WA_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,双南精装2房+空关+装修10几万+品牌家电家具可给+诚意房主自荐,243万,2室1厅 | 48.64平米 | 南 | 精装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9A1afYUPN_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,近地铁 精装修一室半 诚售可小刀 视野采光无遮挡房主自荐,205万,1室1厅 | 39.78平米 | 南 | 精装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_L8kBRBR9J_1.jpg.296x216.jpg
20201223,普陀,甘泉宜川,一楼带天井 看房随时 业主诚心出售 南北两房 价格可谈房主自荐,315万,2室1厅 | 55.08平米 | 南 | 简装 | 低楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RdeQOWjmO_1.jpg.296x216.jpg
