20201223,松江,松江老城,03年现浇房，2房2卫，诚心出售，欢迎看房房主自荐,293万,2室2厅 | 101.05平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_s8snB0OQx_1.jpg.296x216.jpg
20201223,松江,松江老城,外经贸南北通大两房，南北房间 双卫 通透性好，楼层好,330万,2室1厅 | 101平米 | 南 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JOMvYrJTc_1.jpg.296x216.jpg
20201223,松江,松江老城,正气三房 楼层好 采光好 南北直通 两卫房主自荐,365万,3室2厅 | 104.97平米 | 南 | 精装 | 低楼层(共16层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lKxOgn2SM_1.jpg.296x216.jpg
20201223,松江,松江老城,松江府三房两卫，飞机户型房源，婚房装修，看房方便,520万,3室2厅 | 117.48平米 | 南 | 精装 | 12层 | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8gHGlMai8_1.jpg.296x216.jpg
20201223,松江,松江老城,荣乐小区 3室1厅 南 北房主自荐,247万,3室1厅 | 70.27平米 | 南 北 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VZ9gbLw6u_1.jpg.296x216.jpg
20201223,松江,松江老城,维罗纳贵都 1室1厅 南 东新上,210万,1室1厅 | 53.21平米 | 南 东 | 精装 | 高楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DuNgsAwuE_1.jpg.296x216.jpg
20201223,松江,松江老城,松江老城，松乐苑，大润发+新理想广场，9号线1公里新上,285万,2室1厅 | 99.73平米 | 南 | 简装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YVgFZeSpE_1.jpg.296x216.jpg
20201223,松江,松江老城,惊呆了，维罗纳竟然有这样的房子新上,360万,3室2厅 | 90.32平米 | 南 | 精装 | 高楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_49HYUYObP_1.jpg.296x216.jpg
20201223,松江,松江老城,满五唯一税费少，五复六利用率高，业主诚意出售,373万,4室2厅 | 108.95平米 | 南 | 简装 | 高楼层(共5层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dZy3tPh6p_1.jpg.296x216.jpg
20201223,松江,松江老城,通知已出，即将安装电梯，位置很好，不是顶楼，南北通房主自荐,172万,2室1厅 | 57平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dEsO7jKg8_1.jpg.296x216.jpg
20201223,松江,松江老城,好房子，大家多多推荐。看房方便,168万,2室1厅 | 51.63平米 | 南 | 简装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_eiHKjAjth_1.jpg.296x216.jpg
20201223,松江,松江老城,人乐小区 2室1厅 南,152万,2室1厅 | 41.29平米 | 南 | 精装 | 高楼层(共4层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LVD4nITGC_1.jpg.296x216.jpg
20201223,松江,松江老城,满五唯一，税费少，业主自住，房子维护好,170万,2室1厅 | 51.98平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b31230f6-7c4c-4a33-a0c4-63a884e48057_1000.jpg.296x216.jpg
20201223,松江,松江老城,业主诚心出售，价格可谈，房源位置好房主自荐,220万,2室1厅 | 68.56平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lf1qjvOBJ_1.jpg.296x216.jpg
20201223,松江,松江老城,通知已出，即将安装电梯，边套卫生间有窗，满五年唯一房主自荐,187万,2室1厅 | 51.8平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mRvf3RYmi_1.jpg.296x216.jpg
20201223,松江,松江老城,通知已出，即将安装电梯，满五年唯一，不靠马路房主自荐,202万,2室2厅 | 65.88平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tMwnvDK9U_1.jpg.296x216.jpg
20201223,松江,松江老城,中间楼层，两房改三房，小区中间位置，采光通风好，房主自荐,192万,3室1厅 | 56.66平米 | 南 | 毛坯 | 中楼层(共4层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b9a788fb-ce8d-4b89-bcb0-737b8019aa60_1000.jpg.296x216.jpg
20201223,松江,松江老城,飞机户型，小区生活配套设施齐，距地铁700米~~~~~~~~~房主自荐,345万,3室2厅 | 117.81平米 | 南 | 精装 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-fc38faf4-4778-430e-98ea-a27b39d36905.jpg.296x216.jpg
20201223,松江,松江老城,满五唯一，税费少，边套带窗户，看房可点我头像房主自荐,162万,2室1厅 | 57平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a94954e5-bc83-4815-b854-54036c42d691_1000.jpg.296x216.jpg
20201223,松江,松江老城,西林小区近9号线两房，看房方便，随时可签,207万,2室1厅 | 70平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OVyIMaVaU_1.jpg.296x216.jpg
20201223,松江,松江老城,新理想优质好房 中高楼层小户型  看房方便！,218万,1室1厅 | 65.8平米 | 南 | 其他 | 中楼层(共14层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HvXOXHIEO_1.jpg.296x216.jpg
20201223,松江,松江老城,飞机户型大三房 楼层好位置佳 随时看房啦,430万,3室2厅 | 122.82平米 | 南 | 简装 | 中楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/fa91bc00-2ed3-4712-8656-17bd9b5c79e0_1000.jpg.296x216.jpg
20201223,松江,松江老城,小区中间位置。精装修。经典小三房.,355万,3室2厅 | 89.34平米 | 南 | 精装 | 中楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XqYOHUE8F_1.jpg.296x216.jpg
20201223,松江,松江老城,一楼带花园，小区中间位置，房东诚意出售，看房方便,300万,2室2厅 | 91.25平米 | 南 | 简装 | 低楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MhBQbA78i_1.jpg.296x216.jpg
20201223,松江,松江老城,维罗纳贵都 4室1厅 南新上,460万,4室1厅 | 135.01平米 | 南 | 精装 | 低楼层(共14层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_H1UDEwmLn_1.jpg.296x216.jpg
20201223,松江,松江老城,店长推荐，地铁口精装大三房，无抵押，门口g60高速,360万,3室1厅 | 126.55平米 | 南 | 精装 | 高楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_n4r3edWCh_1.jpg.296x216.jpg
20201223,松江,松江老城,满五唯一交契税，精装修，高楼层视野开阔,209万,2室1厅 | 67.5平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z1vhvV62M_1.jpg.296x216.jpg
20201223,松江,松江老城,松江有名装潢公司设计 税少+车位＋含双阳台,308万,2室2厅 | 88.69平米 | 南 | 精装 | 中楼层(共18层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_6Elb5MBtA_1.jpg.296x216.jpg
20201223,松江,松江老城,价格可聊，采光通风好，看房方便，满五年,209万,2室1厅 | 62.84平米 | 南 西 | 简装 | 高楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_MpYaWlqkt_1.jpg.296x216.jpg
20201223,松江,松江老城,海尚名都精装两房，满五唯一楼层好，精装自住，诚售,248万,2室1厅 | 70.47平米 | 南 | 精装 | 中楼层(共26层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1jUD1kbVc_1.jpg.296x216.jpg
20201223,松江,松江老城,近地铁，交通便利，环境好，生活配套全房主自荐,234万,2室1厅 | 66.34平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/11d68da0-ff52-4ca2-bc53-d9f0264fdaa4_1000.jpg.296x216.jpg
20201223,松江,松江老城,华亭新家苑双南夹厅飞机户型，通透性好,300万,2室2厅 | 89.79平米 | 南 | 毛坯 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_1qVpX8KNd_1.jpg.296x216.jpg
20201223,松江,松江老城,此房满五唯一税费少、近地铁，一梯两户房龄新房主自荐,280万,2室1厅 | 91.85平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_D5VJ78NVS_1.jpg.296x216.jpg
20201223,松江,松江老城,双南房  采光好  精装修 拎包入住房主自荐,174万,2室1厅 | 52.28平米 | 南 | 精装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_FYvezYX51_1.jpg.296x216.jpg
20201223,松江,松江老城,地铁9号线800米，人乐小区，南北两房，好楼层，高性价,168万,2室1厅 | 51.48平米 | 南 | 毛坯 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/0e5623ae-ea35-4c3e-8486-7ba9c7279cc1_1000.jpg.296x216.jpg
20201223,松江,松江老城,70年产权精装自住，有轨电车出行方便，随时可看新上,130万,1室1厅 | 38.56平米 | 北 | 精装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/7520735e-7508-4068-a56f-91f70e794987_1000.jpg.296x216.jpg
20201223,松江,松江老城,满五  精装  近地铁  配套齐全房主自荐,198万,2室1厅 | 59.21平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qFP2CG8mu_1.jpg.296x216.jpg
20201223,松江,松江老城,小区位置好 带花园 买进价格低 税费少房主自荐,325万,2室2厅 | 106.9平米 | 南 北 | 精装 | 低楼层(共7层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dmWsWAJOJ_1.jpg.296x216.jpg
20201223,松江,松江老城,户型正气，居家装修拎包入住大两房房主自荐,215万,3室1厅 | 65.85平米 | 南 北 | 简装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b2c28e28-dcd1-4c24-8a4a-780c6c9be107_1000.jpg.296x216.jpg
20201223,松江,松江老城,满五唯一，精装修，大面积朝南采光好,278万,3室2厅 | 142平米 | 南 | 简装 | 18层 | 2005年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_SXqILCREm_1.jpg.296x216.jpg
20201223,松江,松江老城,毛坯两房，中间楼层，采光好，诚意出售,305万,2室2厅 | 89.27平米 | 南 | 毛坯 | 中楼层(共21层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WTn7xKCRu_1.jpg.296x216.jpg
20201223,松江,松江老城,精品房源，精装带地暖，产权双车位，位置好楼层,470万,3室2厅 | 111.38平米 | 南 | 精装 | 中楼层(共11层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zm4FjaiRU_1.jpg.296x216.jpg
20201223,松江,松江老城,民乐小区 飞机户型 满五 中间位置 诚意出售房主自荐,355万,3室2厅 | 118.74平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a21055ac-66c4-487e-a44a-c231bef26937_1000.jpg.296x216.jpg
20201223,松江,松江老城,毛坯正两房，小区临河不靠路。毛坯房随意装修,330万,2室2厅 | 98.17平米 | 南 | 毛坯 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_f45PPheWL_1.jpg.296x216.jpg
20201223,松江,松江老城,荣乐小区，近地铁，全明两房，诚意出售房主自荐,180万,2室1厅 | 54.52平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4x2ZPVyu6_1.jpg.296x216.jpg
20201223,松江,松江老城,满五唯一 双南房双阳台 户型好 诚心出售,260万,2室1厅 | 69.07平米 | 南 | 简装 | 中楼层(共14层) | 2014年建 | 板楼,http://image1.ljcdn.com/110000-inspection/317ad99c-6189-4e90-ad29-208db67d94f3_1000.jpg.296x216.jpg
20201223,松江,松江老城,正气两房，南北格局，居家装修拎包入住房主自荐,175万,2室1厅 | 51.05平米 | 南 | 精装 | 高楼层(共6层) | 1981年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2rFQxwdyl_1.jpg.296x216.jpg
20201223,松江,松江老城,人乐双南夹厅飞机户型+总价低+看房随时,263万,3室2厅 | 86.73平米 | 南 | 简装 | 高楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PThVGmM35_1.jpg.296x216.jpg
20201223,松江,松江老城,2003年现浇房，楼层好户型佳，房东急售！！！房主自荐,395万,3室2厅 | 138.82平米 | 南 | 简装 | 中楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RaEa3GHAG_1.jpg.296x216.jpg
20201223,松江,松江老城,维罗纳贵都 精装大三房   满五不唯一 诚心出售房主自荐,452万,3室2厅 | 134.21平米 | 南 | 精装 | 高楼层(共15层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4N58OUqab_1.jpg.296x216.jpg
20201223,松江,松江老城,维罗纳贵都 精装大三房 南北通透 位置好 带双车位房主自荐,420万,3室2厅 | 116平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lNi8OnDgO_1.jpg.296x216.jpg
20201223,松江,松江老城,维罗纳贵都 精装大三房 南北双阳台 诚心出售 看房方便,480万,3室2厅 | 134平米 | 南 | 精装 | 低楼层(共15层) | 2011年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_s2WQftXMb_1.jpg.296x216.jpg
20201223,松江,松江老城,满五唯一税费少，一梯两户，交通便利房主自荐,238万,3室1厅 | 75.03平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_vlSYicTSf_1.jpg.296x216.jpg
20201223,松江,松江老城,双南现浇房  采光通风佳  精装修房主自荐,283万,2室1厅 | 100.02平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IqrAjVS4Z_1.jpg.296x216.jpg
20201223,松江,松江老城,精装两房 满五唯一税费少 位置好,183万,2室1厅 | 51.1平米 | 南 | 精装 | 中楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Rw7b8hZXY_1.jpg.296x216.jpg
20201223,松江,松江老城,荣乐边套，中等装修，看房方便，房东诚心,195万,2室1厅 | 57.87平米 | 南 北 | 简装 | 中楼层(共6层) | 1986年建 | 板楼,http://image1.ljcdn.com/110000-inspection/b5e3944b-87e7-4288-b230-8e17ed1b13ed_1000.jpg.296x216.jpg
20201223,松江,松江老城,可做四房+满五年，税少，位置佳+精装修+看房随时！房主自荐,395万,3室2厅 | 136.9平米 | 南 北 | 简装 | 低楼层(共5层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-72ec8f52-e386-4470-b91d-97e50360e478.jpg.296x216.jpg
20201223,松江,松江老城,近地铁+楼层好+采光好+一南一北户型房主自荐,283万,2室2厅 | 77平米 | 南 | 简装 | 低楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_WXQ5rtVXc_1.jpg.296x216.jpg
20201223,松江,松江老城,次房满五唯一，近地铁，交通便利,269万,2室1厅 | 91.42平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Q68X4PoZa_1.jpg.296x216.jpg
