20201223,普陀,光新,双南两房 售后公房 一半天井 一半搭起来的阳台房主自荐,416万,2室1厅 | 67.25平米 | 南 | 毛坯 | 低楼层(共7层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Dm2Okfmqq_1.jpg.296x216.jpg
20201223,普陀,光新,全明户型，采光充足，满五唯一，产权明晰，诚意出售房主自荐,265万,2室0厅 | 49.04平米 | 南 | 简装 | 高楼层(共7层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tZKzRXlWA_1.jpg.296x216.jpg
20201223,普陀,光新,业主诚意出售，看房方便，精装修，南北通透，楼层好,330万,2室0厅 | 53.9平米 | 南 北 | 其他 | 中楼层(共7层) | 1985年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_JPR3jbjmE_1.jpg.296x216.jpg
20201223,普陀,光新,售后公房，满五唯一，小区环境好，电梯房，近地铁房主自荐,430万,2室1厅 | 64.7平米 | 南 | 简装 | 低楼层(共18层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_7Ha98lqME_1.jpg.296x216.jpg
20201223,普陀,光新,光新苑 1室1厅 南,206万,1室1厅 | 35.86平米 | 南 | 精装 | 高楼层(共7层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_apLkRfHH3_1.jpg.296x216.jpg
20201223,普陀,光新,售后公房  南北通 近地铁 业主诚意售房主自荐,206万,1室1厅 | 40.11平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yk2xUx7Bp_1.jpg.296x216.jpg
20201223,普陀,光新,西边套全明一房，总价低，税费低,215万,1室1厅 | 40.32平米 | 南 北 | 简装 | 高楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_km1hjCVQE_1.jpg.296x216.jpg
20201223,普陀,光新,管弄四街坊 1室1厅 西,185万,1室1厅 | 35.71平米 | 西 | 毛坯 | 高楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fioujF10s_1.jpg.296x216.jpg
20201223,普陀,光新,二次精装房屋  直接拎包入住  自住租赁有保障新上,235万,1室1厅 | 43.44平米 | 西南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OwT0THL8w_1.jpg.296x216.jpg
20201223,普陀,光新,双南两房，全明户型，交通便利，房东置换诚心出售,265万,2室1厅 | 50.14平米 | 南 | 精装 | 高楼层(共6层) | 1985年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-b2cf340e-7536-4a46-9f6a-a86f9529d571.jpg.296x216.jpg
20201223,普陀,光新,此房满五年唯一，双南两房视野好交通便利，配套齐全,375万,2室1厅 | 65.16平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/d4ec0713-1e89-4280-b3c9-c3cadedb1437_1000.jpg.296x216.jpg
20201223,普陀,光新,石泉小区 1室1厅 南,217万,1室1厅 | 35.7平米 | 南 | 精装 | 中楼层(共5层) | 1984年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7hPtJzx11_1.jpg.296x216.jpg
