20201223,长宁,仙霞,边套全明 南北通透 中间楼层 一梯三户 双轨交通,240万,1室0厅 | 35.01平米 | 南 北 | 简装 | 中楼层(共6层) | 1982年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fYaBrteWJ_1.jpg.296x216.jpg
20201223,长宁,仙霞,全明户型价格优惠、2号线+10号线通行,335万,2室0厅 | 50.52平米 | 东 南 | 毛坯 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_woMjPV1Og_1.jpg.296x216.jpg
20201223,长宁,仙霞,链家精选房源+精装修罕见三房+前方无遮挡+诚意出售房主自荐,485万,3室1厅 | 72.49平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6e63d229-80b1-4733-8e30-bceac72deea6.jpg.296x216.jpg
20201223,长宁,仙霞,满五唯一，税费少，看房方便，靠地铁,1100万,3室2厅 | 126.99平米 | 南 | 精装 | 中楼层(共12层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_v9kRUHc1e_1.jpg.296x216.jpg
20201223,长宁,仙霞,飞机户型+诚意出售+一梯两户+看房方便+采光无遮挡房主自荐,930万,3室2厅 | 126.38平米 | 南 | 精装 | 低楼层(共9层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_V87JSfr7W_1.jpg.296x216.jpg
20201223,长宁,仙霞,满二唯一 ，业主买入价高，可做平 ，诚心出售置换,418万,2室1厅 | 70.58平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SkdoIWWRG_1.jpg.296x216.jpg
20201223,长宁,仙霞,虹景小区，俩房朝南，带天井，自住装修，配套齐全,439万,2室1厅 | 60.06平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_cp84eIhZp_1.jpg.296x216.jpg
20201223,长宁,仙霞,售后公房满五唯一！双南 安静位置，5楼采光通风好！房主自荐,406万,2室1厅 | 54.2平米 | 南 | 简装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_B0gteVRIh_1.jpg.296x216.jpg
20201223,长宁,仙霞,边套全明户型，业主诚意出售，居住舒适度高,488万,2室1厅 | 71.13平米 | 东南 西南 | 简装 | 中楼层(共24层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_v9Scw8lB1_1.jpg.296x216.jpg
20201223,长宁,仙霞,小区中间位置，精装修，拎包入住，看房方便,499万,2室1厅 | 68.4平米 | 南 | 精装 | 低楼层(共24层) | 1990年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_pHcHWylPw_1.jpg.296x216.jpg
20201223,长宁,仙霞,采光透风好，楼层好，交通便利 小区位置闹中取静,415万,2室1厅 | 53平米 | 南 北 | 精装 | 高楼层(共6层) | 1992年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hDFNh5kan_1.jpg.296x216.jpg
20201223,长宁,仙霞,南北户型，好楼层 ！业主急售！产权清晰，精装修房主自荐,375万,2室1厅 | 53.46平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HX4f1KwRF_1.jpg.296x216.jpg
20201223,长宁,仙霞,此房满五年唯一省税，精装修，视野采光好房主自荐,660万,3室2厅 | 103.26平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_26ZZR8XlL_1.jpg.296x216.jpg
20201223,长宁,仙霞,总价低 视野采光佳 户型正气 出行方便,393万,2室1厅 | 75平米 | 南 | 简装 | 低楼层(共24层) | 1993年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_Zyn13lrN9_1.jpg.296x216.jpg
20201223,长宁,仙霞,虹城公寓 1室1厅 南,380万,1室1厅 | 61.8平米 | 南 | 其他 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zf966yf2S_1.jpg.296x216.jpg
20201223,长宁,仙霞,诚意出售+看房方便+采光好，通透，拎包入住，家具留下,213万,1室1厅 | 37.24平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_TdWlqYY2d_1.jpg.296x216.jpg
20201223,长宁,仙霞,已签署电梯加装协议！满五唯一，精装修，拎包入住房主自荐,335万,1室1厅 | 47.33平米 | 南 | 精装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SqGlYAG0n_1.jpg.296x216.jpg
20201223,长宁,仙霞,正规一房一厅，得房率85%，实际使用率超101%,280万,1室1厅 | 45.88平米 | 南 | 简装 | 低楼层(共6层) | 1991年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KeqYnIN02_1.jpg.296x216.jpg
20201223,长宁,仙霞,中间楼层 一梯两户  全明户型  交通方便,395万,2室1厅 | 58.98平米 | 南 | 精装 | 中楼层(共6层) | 1983年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2agELw0ht_1.jpg.296x216.jpg
20201223,长宁,仙霞,带露台，人车分流百万精装，私密性高，看中小谈。,1150万,2室2厅 | 107.25平米 | 南 | 精装 | 低楼层(共31层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IRe99r9ay_1.jpg.296x216.jpg
