20201223,闵行,吴泾,氯碱小区，精装两房，中间楼层，看房方便,186万,2室1厅 | 51.81平米 | 南 | 精装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_a6U7rsSsd_1.jpg.296x216.jpg
20201223,闵行,吴泾,此房适合养老居住，满五年唯一  前后都是无遮挡的 ！,133万,1室1厅 | 37.73平米 | 南 | 精装 | 低楼层(共18层) | 1992年建 | 塔楼,http://image1.ljcdn.com/110000-inspection/pc1_YTsnJD3GY_1.jpg.296x216.jpg
20201223,闵行,吴泾,爱生活就看嘉怡水岸 精装修两房 有地下室和院子,550万,2室2厅 | 140.64平米 | 南 | 简装 | 低楼层(共18层) | 2013年建 | 板楼,http://image1.ljcdn.com/110000-inspection/30cbf011-b23c-478e-a728-3484d2905289_1000.jpg.296x216.jpg
20201223,闵行,吴泾,必看好房，时不我待！永德好楼层双南标准两房！,211万,2室1厅 | 60.96平米 | 南 | 毛坯 | 中楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/65bc27f9-8dac-43a6-9bb8-7caf76d0213b_1000.jpg.296x216.jpg
20201223,闵行,吴泾,双柏小区全明双南房，全明采光，空置，看中随时签房主自荐,230万,2室1厅 | 60.63平米 | 南 | 简装 | 高楼层(共6层) | 1990年建 | 板楼,http://image1.ljcdn.com/110000-inspection/23e44190-17df-4536-9ad2-d10352ca6a52_1000.jpg.296x216.jpg
20201223,闵行,吴泾,虹梅新苑南区，三房一厅一厨一卫，楼层好，全天采光！,365万,3室1厅 | 85.84平米 | 南 北 | 毛坯 | 中楼层(共5层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/5643c17f-73ac-43e1-9a29-6c9514f9ac21_1000.jpg.296x216.jpg
20201223,闵行,吴泾,双柏小区  双南全明户型  满五年唯一  诚心出售,230万,2室1厅 | 67.15平米 | 南 | 简装 | 高楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/f67aafad-189a-43c5-842c-b43854dfe29f_1000.jpg.296x216.jpg
20201223,闵行,吴泾,中间楼层  位置好  自住三房,263万,3室1厅 | 74.3平米 | 南 北 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/dc7230eb-784a-409e-8e44-7e0c215db531_1000.jpg.296x216.jpg
20201223,闵行,吴泾,氯碱小区中间楼层，采光充足，业主诚心出售,188万,2室1厅 | 57.21平米 | 南 | 简装 | 中楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/15aa6fab-53cf-4192-ba48-191968a48133_1000.jpg.296x216.jpg
20201223,闵行,吴泾,永德小区+中间楼层+诚意出售+双南两房+通风采光性能好房主自荐,215万,2室1厅 | 60.02平米 | 南 | 简装 | 中楼层(共6层) | 1993年建 | 板楼,http://image1.ljcdn.com/110000-inspection/a7da38f6-8127-4313-8b60-e78960af0583_1000.jpg.296x216.jpg
