20201223,闵行,老闵行,飞碟苑 2室1厅 南新上,315万,2室1厅 | 80.26平米 | 南 | 简装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_9kyAIM2y6_1.jpg.296x216.jpg
20201223,闵行,老闵行,近地铁，房东诚心出售，楼层位置好，满五唯一，户型好房主自荐,155万,2室1厅 | 58.61平米 | 南 | 简装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3tpfmMiWT_1.jpg.296x216.jpg
20201223,闵行,老闵行,楼层好，位置好，房东诚心出售。,515万,3室2厅 | 103平米 | 南 北 | 精装 | 低楼层(共28层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_2ev3HlYMe_1.jpg.296x216.jpg
20201223,闵行,老闵行,楼层好，满五唯一，精装修，诚意出售新上,263万,2室2厅 | 78.45平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_emiwOpVyl_1.jpg.296x216.jpg
20201223,闵行,老闵行,新闵小区，温馨一室户，南北通风，近5号线，出行便利新上,165万,1室1厅 | 41.29平米 | 南 | 简装 | 中楼层(共6层) | 1987年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ll5VesD7v_1.jpg.296x216.jpg
20201223,闵行,老闵行,东江小区，158平大四房，低楼层，房东诚心出售,419万,4室2厅 | 158.27平米 | 南 东 北 西 | 简装 | 低楼层(共7层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_w0TvzUb5i_1.jpg.296x216.jpg
20201223,闵行,老闵行,顶楼复式   中间位置  业主诚售,649万,4室2厅 | 147.21平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/652e8fb2-b6e9-41d3-90f9-f633e9522295_1000.jpg.296x216.jpg
20201223,闵行,老闵行,采光好+三开间朝南+电梯房！！！,590万,3室2厅 | 121.75平米 | 南 | 简装 | 低楼层(共12层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lP7wd6k0f_1.jpg.296x216.jpg
20201223,闵行,老闵行,合生城邦一街坊 4室2厅 南 北新上,780万,4室2厅 | 155.55平米 | 南 北 | 精装 | 低楼层(共3层) | 2005年建 | 板塔结合,http://image1.ljcdn.com/110000-inspection/pc1_w7Z3yIzoP_1.jpg.296x216.jpg
20201223,闵行,老闵行,三期中间楼层，小区环境好，温馨舒适,350万,2室1厅 | 89.27平米 | 南 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IA1E03fVJ_1.jpg.296x216.jpg
20201223,闵行,老闵行,满五唯一，精装修，双南两房，采光好,165万,2室1厅 | 60.37平米 | 南 | 精装 | 高楼层(共5层) | 1978年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_usB3kgXxo_1.jpg.296x216.jpg
20201223,闵行,老闵行,精装修拎包入住+优质房型+近地铁+业主诚心出售房主自荐,177.9万,2室1厅 | 53.58平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Njxs3pBob_1.jpg.296x216.jpg
20201223,闵行,老闵行,红旗四街坊，笋盘出售，业主诚意，近地铁，带阁楼房主自荐,300万,2室2厅 | 83.46平米 | 南 | 精装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_y6OVS7U0i_2.jpg.296x216.jpg
20201223,闵行,老闵行,单价低+精装修+满五唯一+诚心出售+全明户型新上,173万,2室1厅 | 62.1平米 | 南 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_PMr6lnWGz_1.jpg.296x216.jpg
20201223,闵行,老闵行,精装修顶楼复式，大露台，诚心出售,540万,3室2厅 | 145.67平米 | 南 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5weGnt1ze_1.jpg.296x216.jpg
20201223,闵行,老闵行,顶楼带阁楼的，位置好，电梯房，出行方便房主自荐,756万,4室2厅 | 129.35平米 | 南 | 精装 | 高楼层(共11层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HCaftIepC_1.jpg.296x216.jpg
20201223,闵行,老闵行,地铁：距离地铁5号线剑川路站800米,480万,3室2厅 | 122.76平米 | 南 北 | 简装 | 低楼层(共7层) | 2007年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_C8bC6jVYO_1.jpg.296x216.jpg
20201223,闵行,老闵行,房东诚心出售 楼层高  采光好房主自荐,329万,1室2厅 | 71.35平米 | 南 | 精装 | 高楼层(共18层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_23lOrabaS_1.jpg.296x216.jpg
20201223,闵行,老闵行,精装修+小区优越位置+全明户型+东边套+采光好房主自荐,169万,2室1厅 | 54.4平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_UWFDaIwml_1.jpg.296x216.jpg
20201223,闵行,老闵行,绿地璀璨天城，二房朝南精装修，品质小区！房主自荐,326万,2室1厅 | 83平米 | 南 北 | 精装 | 低楼层(共24层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_7IBibHi7w_1.jpg.296x216.jpg
20201223,闵行,老闵行,楼层好，位置好，房东诚心出售。新上,528万,3室2厅 | 103平米 | 南 | 精装 | 高楼层(共28层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_DzvR2ultG_1.jpg.296x216.jpg
20201223,闵行,老闵行,鹤北二街坊大三房，采光好，单价低，全明户型,460万,3室2厅 | 130.2平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-0a05ef18-05db-4fd6-9af5-eb08dcd46ea8.jpg.296x216.jpg
20201223,闵行,老闵行,满五年唯一，户型正，近地铁，配套成熟,475万,3室2厅 | 84.98平米 | 南 | 精装 | 高楼层(共6层) | 2009年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-487cf712-137a-407a-a8b6-f4b002e84ea3.jpg.296x216.jpg
20201223,闵行,老闵行,配套齐全，楼层位置好，看房方便。房主自荐,174.8万,2室1厅 | 57.71平米 | 南 | 精装 | 高楼层(共6层) | 1988年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Li8HG4mmS_1.jpg.296x216.jpg
20201223,闵行,老闵行,此房中高楼层，采光通风好，业主精装修，诚心出售。房主自荐,274.8万,2室1厅 | 83.33平米 | 南 | 精装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_faWUcRGJq_1.jpg.296x216.jpg
20201223,闵行,老闵行,房龄新，双南房，看房方便，房东诚心出售房主自荐,294.8万,2室2厅 | 94.24平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_qy7C2dFyi_1.jpg.296x216.jpg
20201223,闵行,老闵行,户型方正，大两房，交通便利，满五唯一,330万,2室2厅 | 89.2平米 | 南 北 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_QZYKGmGsd_1.jpg.296x216.jpg
20201223,闵行,老闵行,大三房，南北通，近碧江广场，生活便利。,420万,3室2厅 | 121.13平米 | 南 | 简装 | 低楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_mJadjYh4L_1.jpg.296x216.jpg
20201223,闵行,老闵行,中等装修 中楼层 房型正气 通风好 采光好房主自荐,418万,2室2厅 | 90.91平米 | 南 | 简装 | 中楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_u3djQkuWW_1.jpg.296x216.jpg
