20201223,宝山,共富,飞机户型大三房+自带50平三个小花园+采光充足+1号线房主自荐,475万,3室2厅 | 129.09平米 | 南 | 简装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-ac2d5ed4-0ef7-48be-a663-05f85dffff3f.jpg.296x216.jpg
20201223,宝山,共富,两房朝南+近地铁+配套齐全+诚意出售房主自荐,284万,2室1厅 | 66.8平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bjK69va63_1.jpg.296x216.jpg
20201223,宝山,共富,01年大三房+2楼+交通便利+配套齐全+看房方便,480万,3室2厅 | 126.21平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-d110ff98-b45f-4854-8a88-bdb468e85304.jpg.296x216.jpg
20201223,宝山,共富,中楼层！已改成自然（三房)+采光好+凤水好房主自荐,255万,2室1厅 | 57.51平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4Ngju3lMh_1.jpg.296x216.jpg
20201223,宝山,共富,双南全明大两房，厨卫朝北正气户型房主自荐,303万,2室1厅 | 74.02平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VI30tmbYq_1.jpg.296x216.jpg
20201223,宝山,共富,楼层好，采光好，位置不错，看房方便房主自荐,258万,2室1厅 | 59.38平米 | 南 | 简装 | 中楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IOZWirgw7_1.jpg.296x216.jpg
20201223,宝山,共富,南北大两房，非顶楼，采光充足，全明户型。房主自荐,339万,2室2厅 | 93.66平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_VbkPZvWUY_1.jpg.296x216.jpg
20201223,宝山,共富,双南两房+精装修+近地铁+税少房主自荐,278万,2室1厅 | 68.61平米 | 南 | 简装 | 中楼层(共7层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GSRablCD6_1.jpg.296x216.jpg
20201223,宝山,共富,电梯大三房，三卧朝南，次顶楼，满五唯一，近地铁房主自荐,507万,3室2厅 | 142.29平米 | 南 北 | 简装 | 高楼层(共13层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_prU6jBeG3_1.jpg.296x216.jpg
20201223,宝山,共富,贝壳优选飞机大三房+楼下一个固定车位+距地铁站200米房主自荐,385万,3室1厅 | 110.11平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wYKeZ1Ocx_1.jpg.296x216.jpg
20201223,宝山,共富,2004年小区+三开间朝南+生活便利+满五唯一+近智慧湾,455万,2室2厅 | 111.34平米 | 北 南 | 毛坯 | 中楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0Qx3q2ko8_1.jpg.296x216.jpg
20201223,宝山,共富,急售，二村三房带天井，满五唯一，近地铁，全明户型房主自荐,375万,3室1厅 | 88.92平米 | 南 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OHNOBPGGP_1.jpg.296x216.jpg
20201223,宝山,共富,富弘苑+高楼层采光通风好+满五唯一+业主诚售房主自荐,630万,4室2厅 | 154.42平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_LDeSVjYJe_1.jpg.296x216.jpg
20201223,宝山,共富,此房诚意出售 价格可谈 非顶楼 房子吴税 可接受周期房主自荐,346万,3室1厅 | 90.8平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hEyGg6BgV_1.jpg.296x216.jpg
20201223,宝山,共富,地铁一号线+南北大两房+99年房龄+中等装修+单价低房主自荐,330万,2室2厅 | 83.49平米 | 南 北 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_fs40GGtKz_1.jpg.296x216.jpg
20201223,宝山,共富,04年房龄+满五唯一+中间楼层+南北户型+中等装修房主自荐,400万,2室1厅 | 95.57平米 | 南 北 | 简装 | 中楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_zUQoJf1XO_1.jpg.296x216.jpg
20201223,宝山,共富,富弘苑南北2房+西边套+主卧大飘窗+楼层佳+业主诚售,410万,2室2厅 | 95.03平米 | 南 北 | 简装 | 中楼层(共5层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_bVwquyiyu_1.jpg.296x216.jpg
20201223,宝山,共富,满五唯一税费少，南北两房楼层好，交通便利配套完善！新上,325万,2室2厅 | 73.74平米 | 南 北 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0Mp6VFF1F_1.jpg.296x216.jpg
20201223,宝山,共富,强烈推荐，正规横套房源，厨卫朝北，满五，中等装修房主自荐,240万,1室1厅 | 63.45平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_SVhOZWyw0_1.jpg.296x216.jpg
20201223,宝山,共富,富成园+户型方正+南北通+采光好+视野开阔+停车方便房主自荐,350万,2室2厅 | 84.95平米 | 南 | 精装 | 高楼层(共6层) | 2002年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Qy3zJE43a_1.jpg.296x216.jpg
20201223,宝山,共富,店长推荐 二村低楼层一房 业主急售 看房方便房主自荐,245万,1室1厅 | 59.55平米 | 南 北 | 简装 | 低楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_r0AOzTHpJ_1.jpg.296x216.jpg
20201223,宝山,共富,近地铁300米新上精装一房+可拎包入住+业主诚意出售房主自荐,200万,1室1厅 | 51.28平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8lkO6eWar_1.jpg.296x216.jpg
20201223,宝山,共富,此房是共富四村+户型方正+产权满5年唯一带花园,328万,2室1厅 | 75.71平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_KyYaNwWsw_1.jpg.296x216.jpg
20201223,宝山,共富,南北两房（非顶楼）满五唯一+地铁1号线，业主诚意出售房主自荐,326万,2室2厅 | 82.62平米 | 南 北 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4t1A9WZoy_1.jpg.296x216.jpg
20201223,宝山,共富,共富鑫鑫花园精装大复式+空中花园+业主诚心出售+好房,538万,4室2厅 | 150.64平米 | 南 | 简装 | 高楼层(共6层) | 2004年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-4d5ccb6e-b88c-4297-a971-690d44d19bce.jpg.296x216.jpg
20201223,宝山,共富,飞机户型大三房+近地铁+精装修+采光好+视野开阔房主自荐,416万,3室2厅 | 116.54平米 | 南 | 精装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ceZ4wrpek_1.jpg.296x216.jpg
20201223,宝山,共富,近地铁1号线+户型正气+位置佳 采光好+满五+业主诚售房主自荐,335万,2室2厅 | 87.93平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_lP8ewcUI6_1.jpg.296x216.jpg
20201223,宝山,共富,非顶楼飞机户型三房+近地铁+有钥匙+满五唯一+业主诚售房主自荐,405万,3室2厅 | 116.54平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_hgTn2MRfI_1.jpg.296x216.jpg
20201223,宝山,共富,精致全明直套一房+非顶楼+优质小区+税费少~刚需必备房主自荐,219万,1室1厅 | 49.61平米 | 南 | 简装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-6a115e2d-b16f-4a61-bc24-1351f4072afc.jpg.296x216.jpg
20201223,宝山,共富,富康园+3房2卫链家优选+楼层好+房型正气+交通方便房主自荐,505万,3室2厅 | 126.21平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-bb370187-5cda-4625-ac21-05c7a3916522.jpg.296x216.jpg
20201223,宝山,共富,3层地复+（精装center空调+地暖）+房东诚心出售房主自荐,949万,5室2厅 | 208.01平米 | 南 | 精装 | 低楼层(共15层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kTg8ZP4EU_1.jpg.296x216.jpg
20201223,宝山,共富,富华苑+店长推荐+满五唯一+位置好+诚心出售+南北户型房主自荐,381万,2室2厅 | 88.72平米 | 南 | 精装 | 低楼层(共5层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5jJRBFECW_1.jpg.296x216.jpg
20201223,宝山,共富,共富二村，中间楼层，位置好，直套一房，诚心出售房主自荐,215万,1室1厅 | 51.19平米 | 南 | 简装 | 中楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8hEqURUy2_1.jpg.296x216.jpg
20201223,宝山,共富,店长推荐  一号线+低总价+优选好房+配套齐全房主自荐,168万,1室1厅 | 39.26平米 | 南 | 简装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_yJmYuBcbX_1.jpg.296x216.jpg
20201223,宝山,共富,房子满五唯一，采光好，视野佳，业主诚售，价格可谈房主自荐,208万,1室1厅 | 49.7平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/4b467ffe-ca5d-4611-a9c7-61a20cff5d70_1000.jpg.296x216.jpg
20201223,宝山,共富,近地铁+双南户型+采光无遮挡+小区位置好,280万,2室1厅 | 70.94平米 | 南 | 简装 | 高楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_HzqwviX49_1.jpg.296x216.jpg
20201223,宝山,共富,经典户型+近地铁+交通方便+配套齐全房主自荐,190万,1室1厅 | 45.58平米 | 南 | 毛坯 | 低楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_3uZ7vjprO_1.jpg.296x216.jpg
20201223,宝山,共富,近一号线+双天井+税费少+一梯两户房主自荐,325万,2室2厅 | 78.04平米 | 南 | 简装 | 低楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OEnadUcjh_1.jpg.296x216.jpg
20201223,宝山,共富,满五唯一，少有横套户型，采光通风好房主自荐,242万,2室1厅 | 61.46平米 | 南 | 毛坯 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wwDvor94s_1.jpg.296x216.jpg
20201223,宝山,共富,近地铁+环境好+方正全明户型+采光通风好房主自荐,312万,2室1厅 | 76.8平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_kPaVYflmO_1.jpg.296x216.jpg
20201223,宝山,共富,1号线婚房精装2房+满五唯一+一梯两户+业主诚售房主自荐,320万,2室1厅 | 75.05平米 | 南 | 精装 | 低楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_x5l3wCzzL_1.jpg.296x216.jpg
20201223,宝山,共富,地铁O距离+南北大两房+全明户型+满五唯一+诚意出售新上,330万,2室1厅 | 82.62平米 | 南 | 简装 | 高楼层(共6层) | 1997年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_0ySd56DC5_1.jpg.296x216.jpg
20201223,宝山,共富,01年房龄+正气户型+环境优雅+生活便利+诚心出售房主自荐,450万,3室2厅 | 118.91平米 | 南 北 | 精装 | 高楼层(共6层) | 2001年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-52465934-07c5-490b-b55a-7ba0fc0aea50.jpg.296x216.jpg
20201223,宝山,共富,近地铁·中间楼层（三开间朝南）+看房方便提前预约,485万,3室2厅 | 117.19平米 | 南 | 简装 | 中楼层(共5层) | 2001年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4tc3EttAf_1.jpg.296x216.jpg
20201223,宝山,共富,近地铁+横套一房改两房+采光好+视野开阔房主自荐,255万,2室1厅 | 60.13平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_oE5S2APwq_1.jpg.296x216.jpg
20201223,宝山,共富,品质小区 精装修 带地暖 宝山之星房主自荐,940万,5室2厅 | 220平米 | 南 | 精装 | 低楼层(共15层) | 2015年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_oA2WWqQuD_1.jpg.296x216.jpg
20201223,宝山,共富,次新房~ 南北大三房！两厅两卫！户型方正~交通方便！房主自荐,465万,3室2厅 | 123.24平米 | 南 北 | 精装 | 高楼层(共6层) | 1999年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_z3e6YnGnc_1.jpg.296x216.jpg
20201223,宝山,共富,精装修+低楼层+98年房龄+南北户型+满五唯一+近地铁,319万,2室2厅 | 80.46平米 | 南 北 | 精装 | 低楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_XkeiXOVm7_1.jpg.296x216.jpg
20201223,宝山,共富,新二村/超优位置/精装现房/精致花园/税费少的哟！房主自荐,420万,3室1厅 | 93.6平米 | 南 北 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_Fnnl36J6Q_1.jpg.296x216.jpg
20201223,宝山,共富,宝山+富弘苑+复式房+精装修+户型方正+小区停车方便,566万,4室2厅 | 140.47平米 | 南 | 精装 | 高楼层(共5层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nHKzwqbUk_1.jpg.296x216.jpg
20201223,宝山,共富,经典小三房，满五w一，税费少，业主诚心出售房主自荐,318万,3室1厅 | 90.5平米 | 南 | 简装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_Lni5576r0_1.jpg.296x216.jpg
