20201223,宝山,上大,满2唯一，近地铁，交通便利，中间楼层，南北通全明户必看好房,300万,2室1厅 | 62.4平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_dhNACKmN6_1.jpg.296x216.jpg
20201223,宝山,上大,近地铁，南北通透视野宽广采光充足，交通便利配套齐全必看好房,388万,2室1厅 | 79.33平米 | 南 北 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4B4dIN35I_1.jpg.296x216.jpg
20201223,宝山,上大,满两年 总价低 双地铁 婚房装修 公园房 品质小区必看好房,580万,3室2厅 | 103平米 | 南 | 精装 | 低楼层(共13层) | 2016年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YQp2ZkrIA_1.jpg.296x216.jpg
20201223,宝山,上大,丰翔新城一居室，户型方正，采光明亮，可以自己装修必看好房,240万,1室2厅 | 61.03平米 | 南 | 毛坯 | 中楼层(共26层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_4R33ZV0w7_1.jpg.296x216.jpg
20201223,宝山,上大,店长推荐，精装好房，配套齐全，交通方便必看好房,218万,2室1厅 | 46.63平米 | 南 | 精装 | 高楼层(共6层) | 1996年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_IyyTYKOMp_1.jpg.296x216.jpg
20201223,宝山,上大,上大 一手动迁 南北两房 7/15号双轨交通 生活配套齐全必看好房,355万,2室1厅 | 78.5平米 | 南 | 简装 | 中楼层(共6层) | 1995年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_n5EGtY8fB_1.jpg.296x216.jpg
20201223,宝山,上大,经纬五期仅有一房  纯毛坯装修随意发挥 看房方便必看好房,405万,1室1厅 | 59.63平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_iktFY3nHV_1.jpg.296x216.jpg
20201223,宝山,上大,7号线南陈路 上大17年小区 经纬中楼层两房必看好房,535万,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_j5xdQvVSK_1.jpg.296x216.jpg
20201223,宝山,上大,锦龙苑 2室2厅 南必看好房,320万,2室2厅 | 77.75平米 | 南 | 精装 | 高楼层(共6层) | 2000年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ovh7I9GzX_1.jpg.296x216.jpg
20201223,宝山,上大,全明格局 产权清晰 楼层优 看房方便 业主诚意出售必看好房,310万,2室1厅 | 68.4平米 | 南 | 简装 | 中楼层(共6层) | 1998年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_ezLFjvP6a_1.jpg.296x216.jpg
20201223,宝山,上大,7号线，地铁口，大三房，中间楼层 ， 精装修必看好房,570万,3室2厅 | 122.5平米 | 南 北 | 精装 | 中楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/310000-inspection/pc1_BB1PufHZo_1.jpg.296x216.jpg
20201223,宝山,上大,温馨小院 品质小区 看房方便 领包入住 带地下产权车位必看好房,475万,2室1厅 | 94.97平米 | 南 | 精装 | 低楼层(共6层) | 2006年建 | 板楼,http://image1.ljcdn.com/310000-inspection/prod-1cf54f98-afed-47c8-be1d-95d4636b0573.jpg.296x216.jpg
20201223,宝山,上大,联排别墅，三层，单排，房东诚意出售，随时联系我必看好房,720万,4室2厅 | 134.21平米 | 南 北 | 毛坯 | 低楼层(共3层) | 1999年建 | 板楼,
20201223,宝山,上大,锦秋花园南进门别墅，靠东门，出行方便必看好房,840万,4室1厅 | 155.17平米 | 南 北 | 精装 | 3层 | 2004年建 | 板楼 | 独栋别墅,http://image1.ljcdn.com/110000-inspection/77cc3171-0989-4ee8-85cb-71e74bd321e8.jpeg.296x216.jpg
20201223,宝山,上大,经纬三期一梯两户大一房    买入价高税费少业主诚意必看好房,420万,1室1厅 | 64.06平米 | 南 北 | 精装 | 低楼层(共14层) | 2009年建 | 板楼,http://image1.ljcdn.com/x-se/310000-frame/cf36e31d-c956-4f71-8ef7-96c3230e7990.jpg.296x216.jpg
20201223,宝山,上大,二期稀有大三房 户型正气 看房方便 业主诚意出售必看好房,626万,3室2厅 | 116.24平米 | 南 | 简装 | 中楼层(共13层) | 2007年建 | 板楼,http://image1.ljcdn.com/x-se/shfdfs-image/20170206/c3ca65ad-28bd-416a-9002-d3a7b6ebc8d5.jpg.296x216.jpg
20201223,宝山,上大,此房满五唯一，前排，西南边套，中高楼层，视野佳。新上,568万,3室2厅 | 120.52平米 | 西南 | 精装 | 中楼层(共32层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_8LBnD87a3_1.jpg.296x216.jpg
20201223,宝山,上大,景观楼层视野开阔  诚意出售 楼层佳装修保养好房主自荐,628万,3室2厅 | 141.98平米 | 南 北 | 精装 | 高楼层(共20层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_nQwwKwFEW_1.jpg.296x216.jpg
20201223,宝山,上大,精品装修 满五唯一 专业设计师空间规划新上,325万,2室2厅 | 76.81平米 | 南 北 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_97XPPPOPH_1.jpg.296x216.jpg
20201223,宝山,上大,一期大三房，三房朝南户型，业主诚意出售房主自荐,750万,3室2厅 | 140平米 | 南 北 | 毛坯 | 低楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_GMYrWnrYZ_1.jpg.296x216.jpg
20201223,宝山,上大,新上丰翔南北通两房，采光好，钥匙房看房方便房主自荐,330万,2室2厅 | 88.54平米 | 南 北 | 简装 | 低楼层(共16层) | 2009年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_OSOqso1Yv_1.jpg.296x216.jpg
20201223,宝山,上大,复式三层四房朝南有双露台，7号线和15号线双轨交！房主自荐,620万,4室2厅 | 142.08平米 | 南 | 简装 | 高楼层(共6层) | 2003年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_tryWUZBrJ_1.jpg.296x216.jpg
20201223,宝山,上大,诚意出售，满五唯一，南北直通，可据自己喜好装修！房主自荐,398万,2室2厅 | 93.38平米 | 南 北 | 毛坯 | 低楼层(共10层) | 2010年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_wyEzZrktH_1.jpg.296x216.jpg
20201223,宝山,上大,楼层好，视野佳，采光充裕，交通便利，出行方便。房主自荐,212万,2室1厅 | 44.84平米 | 南 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_d7t7Sm7hW_1.jpg.296x216.jpg
20201223,宝山,上大,南北通 大两房  双轨交 出行便利,405万,2室2厅 | 85.95平米 | 南 | 简装 | 低楼层(共6层) | 2008年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_CbgorqEtF_1.jpg.296x216.jpg
20201223,宝山,上大,满五唯一，户型整齐，小区环境优雅，安全停车方便!房主自荐,280万,2室1厅 | 60.09平米 | 南 北 | 简装 | 高楼层(共6层) | 1994年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_B0LxMiEb2_1.jpg.296x216.jpg
20201223,宝山,上大,：高楼层大三房,精装修无遮挡采光好房主自荐,579万,3室2厅 | 121.12平米 | 南 北 | 精装 | 高楼层(共32层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_hMmSKE1ug_1.jpg.296x216.jpg
20201223,宝山,上大,南北通透，配套齐全，双轨交，交通便利，房主自荐,640万,3室2厅 | 144.78平米 | 南 北 | 精装 | 高楼层(共11层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_xPOOR8993_1.jpg.296x216.jpg
20201223,宝山,上大,楼层佳，视野好，满五唯一税费少，有车位。房主自荐,431万,3室2厅 | 91.87平米 | 南 北 | 精装 | 高楼层(共33层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_RNrKho777_1.jpg.296x216.jpg
20201223,宝山,上大,中间位置，次顶楼，精装修，南北通三房，诚意出售房主自荐,730万,3室2厅 | 129.71平米 | 南 | 精装 | 高楼层(共6层) | 2005年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_YHqUi9f9G_1.jpg.296x216.jpg
20201223,宝山,上大,二次居家装修大三房，前排采光好，无遮挡，诚心出售房主自荐,560万,3室2厅 | 120.52平米 | 南 | 精装 | 低楼层(共32层) | 2012年建 | 板楼,http://image1.ljcdn.com/110000-inspection/pc1_5KjWd0CEa_1.jpg.296x216.jpg
